,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album_name,release_date,album_id
0,0.661,0.407,10,-21.583,0,0.747,0.73,0.0,0.862,0.277,78.382,audio_features,1sgBtdd3OgBABV9L5tM8K8,spotify:track:1sgBtdd3OgBABV9L5tM8K8,https://api.spotify.com/v1/tracks/1sgBtdd3OgBABV9L5tM8K8,https://api.spotify.com/v1/audio-analysis/1sgBtdd3OgBABV9L5tM8K8,31547,4,Yi,"i,i",2019-08-09,54DU59anGQsdrFP7utpshG
1,0.489,0.396,8,-11.57,1,0.053,0.889,0.00713,0.203,0.523,134.131,audio_features,5p2vqFW6PVyE38GJlCVIHv,spotify:track:5p2vqFW6PVyE38GJlCVIHv,https://api.spotify.com/v1/tracks/5p2vqFW6PVyE38GJlCVIHv,https://api.spotify.com/v1/audio-analysis/5p2vqFW6PVyE38GJlCVIHv,196360,4,iMi,"i,i",2019-08-09,54DU59anGQsdrFP7utpshG
2,0.649,0.424,0,-12.007,0,0.0754,0.908,0.000559,0.257,0.292,120.136,audio_features,2AXnVe4VcEli1z8B9P1Elk,spotify:track:2AXnVe4VcEli1z8B9P1Elk,https://api.spotify.com/v1/tracks/2AXnVe4VcEli1z8B9P1Elk,https://api.spotify.com/v1/audio-analysis/2AXnVe4VcEli1z8B9P1Elk,142880,4,We,"i,i",2019-08-09,54DU59anGQsdrFP7utpshG
3,0.565,0.413,6,-11.892,1,0.0546,0.955,0.134,0.147,0.314,142.454,audio_features,0tP7eRyzsXUkuJK4m6ys7I,spotify:track:0tP7eRyzsXUkuJK4m6ys7I,https://api.spotify.com/v1/tracks/0tP7eRyzsXUkuJK4m6ys7I,https://api.spotify.com/v1/audio-analysis/0tP7eRyzsXUkuJK4m6ys7I,187533,4,"Holyfields,","i,i",2019-08-09,54DU59anGQsdrFP7utpshG
4,0.411,0.285,0,-10.97,1,0.0306,0.872,0.000354,0.0993,0.213,72.139,audio_features,0d6bZwEAi1XblGRhnzPfgC,spotify:track:0d6bZwEAi1XblGRhnzPfgC,https://api.spotify.com/v1/tracks/0d6bZwEAi1XblGRhnzPfgC,https://api.spotify.com/v1/audio-analysis/0d6bZwEAi1XblGRhnzPfgC,216707,4,"Hey, Ma","i,i",2019-08-09,54DU59anGQsdrFP7utpshG
5,0.606,0.264,6,-10.152,1,0.0243,0.943,5.63e-05,0.118,0.319,95.021,audio_features,2a8HLMRc6E0AM4xXiQ4wh6,spotify:track:2a8HLMRc6E0AM4xXiQ4wh6,https://api.spotify.com/v1/tracks/2a8HLMRc6E0AM4xXiQ4wh6,https://api.spotify.com/v1/audio-analysis/2a8HLMRc6E0AM4xXiQ4wh6,145720,4,U (Man Like),"i,i",2019-08-09,54DU59anGQsdrFP7utpshG
6,0.37,0.408,0,-10.355,1,0.0441,0.804,0.0279,0.678,0.164,125.068,audio_features,1ff60tDWdcdVN6PtKQXWny,spotify:track:1ff60tDWdcdVN6PtKQXWny,https://api.spotify.com/v1/tracks/1ff60tDWdcdVN6PtKQXWny,https://api.spotify.com/v1/audio-analysis/1ff60tDWdcdVN6PtKQXWny,262267,4,Naeem,"i,i",2019-08-09,54DU59anGQsdrFP7utpshG
7,0.323,0.242,8,-10.955,1,0.073,0.979,0.00675,0.0911,0.261,80.509,audio_features,0v3PdoLZrm0RVfS8sHnADp,spotify:track:0v3PdoLZrm0RVfS8sHnADp,https://api.spotify.com/v1/tracks/0v3PdoLZrm0RVfS8sHnADp,https://api.spotify.com/v1/audio-analysis/0v3PdoLZrm0RVfS8sHnADp,150080,3,Jelmore,"i,i",2019-08-09,54DU59anGQsdrFP7utpshG
8,0.453,0.362,1,-11.154,1,0.0319,0.768,0.0148,0.0998,0.181,134.949,audio_features,5fLZQWarUISdz4attMFTXl,spotify:track:5fLZQWarUISdz4attMFTXl,https://api.spotify.com/v1/tracks/5fLZQWarUISdz4attMFTXl,https://api.spotify.com/v1/audio-analysis/5fLZQWarUISdz4attMFTXl,217947,4,Faith,"i,i",2019-08-09,54DU59anGQsdrFP7utpshG
9,0.297,0.0682,3,-13.147,1,0.0377,0.938,3.04e-05,0.108,0.235,79.694,audio_features,6eICehJWzcEk2880W6Apif,spotify:track:6eICehJWzcEk2880W6Apif,https://api.spotify.com/v1/tracks/6eICehJWzcEk2880W6Apif,https://api.spotify.com/v1/audio-analysis/6eICehJWzcEk2880W6Apif,141667,3,Marion,"i,i",2019-08-09,54DU59anGQsdrFP7utpshG
