,salaryInsights,dashEntityUrn,companyDetails,jobState,title,duration,entityUrn,briefBenefitsDescription,applyMethod,*savingInfo,new,formattedLocation,expireAt,listedAt,$recipeTypes,$type,standardizedAddresses,sourceDomain
0,"{'lockModuleShown': True, 'salaryExplorerUrl': 'https://www.linkedin.com/salary/', 'insightExists': False, 'jobCompensationAvailable': True, '$type': 'com.linkedin.voyager.premium.SalaryInsights'}",urn:li:fsd_jobPosting:2789801957,"{'company': 'urn:li:fs_normalized_company:16198010', '*companyResolutionResult': 'urn:li:fs_normalized_company:16198010', '$recipeTypes': ['com.linkedin.voyager.deco.jserp.WebJobPostingWithCompanyName'], '$type': 'com.linkedin.voyager.jobs.JobPostingCompany'}",LISTED,Intern Masters Business (51006201),,urn:li:fs_normalized_jobPosting:2789801957,,"{'applyStartersPreferenceVoid': True, 'companyApplyUrl': 'https://dxctechnology.wd1.myworkdayjobs.com/DXCJobs/job/ESP---CT---BARCELONA/Intern-Masters-Business--51006201-_51380649/apply?source=Linkedin', '$type': 'com.linkedin.voyager.jobs.OffsiteApply'}",urn:li:fs_jobSavingInfo:2789801957,False,"Barcelona, Catalonia, Spain",1639146072000,1636554073000,['com.linkedin.voyager.deco.jserp.WebSearchJobJserpJobPostingWithSalary'],com.linkedin.voyager.jobs.JobPosting,,dxctechnology.wd1.myworkdayjobs.com
1,"{'lockModuleShown': True, 'salaryExplorerUrl': 'https://www.linkedin.com/salary/', 'insightExists': False, 'jobCompensationAvailable': True, '$type': 'com.linkedin.voyager.premium.SalaryInsights'}",urn:li:fsd_jobPosting:2768736549,"{'company': 'urn:li:fs_normalized_company:9262901', '*companyResolutionResult': 'urn:li:fs_normalized_company:9262901', '$recipeTypes': ['com.linkedin.voyager.deco.jserp.WebJobPostingWithCompanyName'], '$type': 'com.linkedin.voyager.jobs.JobPostingCompany'}",LISTED,People Controlling Intern (They/She/He),,urn:li:fs_normalized_jobPosting:2768736549,,"{'applyStartersPreferenceVoid': True, 'companyApplyUrl': 'https://app.greenhouse.io/embed/job_app?token=5640088002&s=LinkedIn&source=LinkedIn', '$type': 'com.linkedin.voyager.jobs.OffsiteApply'}",urn:li:fs_jobSavingInfo:2768736549,False,"Barcelona, Catalonia, Spain",1640034235000,1636717243000,['com.linkedin.voyager.deco.jserp.WebSearchJobJserpJobPostingWithSalary'],com.linkedin.voyager.jobs.JobPosting,,app.greenhouse.io
2,"{'lockModuleShown': True, 'salaryExplorerUrl': 'https://www.linkedin.com/salary/', 'insightExists': False, 'jobCompensationAvailable': True, '$type': 'com.linkedin.voyager.premium.SalaryInsights'}",urn:li:fsd_jobPosting:2801338737,"{'company': 'urn:li:fs_normalized_company:29016729', '*companyResolutionResult': 'urn:li:fs_normalized_company:29016729', '$recipeTypes': ['com.linkedin.voyager.deco.jserp.WebJobPostingWithCompanyName'], '$type': 'com.linkedin.voyager.jobs.JobPostingCompany'}",LISTED,Business Operations Intern,,urn:li:fs_normalized_jobPosting:2801338737,,"{'easyApplyUrl': 'https://www.linkedin.com/job-apply/2801338737', 'unifyApplyEnabled': True, '$type': 'com.linkedin.voyager.jobs.ComplexOnsiteApply'}",urn:li:fs_jobSavingInfo:2801338737,True,"Barcelona, Catalonia, Spain",1652883049000,1637331077000,['com.linkedin.voyager.deco.jserp.WebSearchJobJserpJobPostingWithSalary'],com.linkedin.voyager.jobs.JobPosting,,
3,"{'lockModuleShown': True, 'salaryExplorerUrl': 'https://www.linkedin.com/salary/', 'insightExists': False, 'jobCompensationAvailable': True, '$type': 'com.linkedin.voyager.premium.SalaryInsights'}",urn:li:fsd_jobPosting:2759299909,"{'company': 'urn:li:fs_normalized_company:3226972', '*companyResolutionResult': 'urn:li:fs_normalized_company:3226972', '$recipeTypes': ['com.linkedin.voyager.deco.jserp.WebJobPostingWithCompanyName'], '$type': 'com.linkedin.voyager.jobs.JobPostingCompany'}",LISTED,Strategy Business Analytics Intern (Spain based),,urn:li:fs_normalized_jobPosting:2759299909,,"{'applyStartersPreferenceVoid': True, 'companyApplyUrl': 'https://www.typeform.com/careers/jobs/3464120/', '$type': 'com.linkedin.voyager.jobs.OffsiteApply'}",urn:li:fs_jobSavingInfo:2759299909,False,"Barcelona, Catalonia, Spain",1639843935000,1636986295000,['com.linkedin.voyager.deco.jserp.WebSearchJobJserpJobPostingWithSalary'],com.linkedin.voyager.jobs.JobPosting,,
4,"{'lockModuleShown': True, 'salaryExplorerUrl': 'https://www.linkedin.com/salary/', 'insightExists': False, 'jobCompensationAvailable': True, '$type': 'com.linkedin.voyager.premium.SalaryInsights'}",urn:li:fsd_jobPosting:2659225588,"{'company': 'urn:li:fs_normalized_company:1115', '*companyResolutionResult': 'urn:li:fs_normalized_company:1115', '$recipeTypes': ['com.linkedin.voyager.deco.jserp.WebJobPostingWithCompanyName'], '$type': 'com.linkedin.voyager.jobs.JobPostingCompany'}",LISTED,SAP iXp Intern - Digital Demand Strategist,,urn:li:fs_normalized_jobPosting:2659225588,,"{'applyStartersPreferenceVoid': True, 'companyApplyUrl': 'https://jobs.sap.com/job/Barcelona-SAP-iXp-Intern-Digital-Demand-Strategist-08019/688083201/?feedId=244601&utm_campaign=limitedlistings&utm_source=LinkedinJobPostings', '$type': 'com.linkedin.voyager.jobs.OffsiteApply'}",urn:li:fs_jobSavingInfo:2659225588,False,"Barcelona, Catalonia, Spain",1642549517000,1636198129000,['com.linkedin.voyager.deco.jserp.WebSearchJobJserpJobPostingWithSalary'],com.linkedin.voyager.jobs.JobPosting,,jobs.sap.com
5,"{'lockModuleShown': True, 'salaryExplorerUrl': 'https://www.linkedin.com/salary/', 'insightExists': False, 'jobCompensationAvailable': True, '$type': 'com.linkedin.voyager.premium.SalaryInsights'}",urn:li:fsd_jobPosting:2801345488,"{'company': 'urn:li:fs_normalized_company:11491309', '*companyResolutionResult': 'urn:li:fs_normalized_company:11491309', '$recipeTypes': ['com.linkedin.voyager.deco.jserp.WebJobPostingWithCompanyName'], '$type': 'com.linkedin.voyager.jobs.JobPostingCompany'}",LISTED,Full time internship - Consulting/Business Analysis,,urn:li:fs_normalized_jobPosting:2801345488,,"{'unifyApplyEnabled': True, 'type': 'CONTACT_INFORMATION', '$type': 'com.linkedin.voyager.jobs.SimpleOnsiteApply'}",urn:li:fs_jobSavingInfo:2801345488,True,Greater Madrid Metropolitan Area,1639923934000,1637331935000,['com.linkedin.voyager.deco.jserp.WebSearchJobJserpJobPostingWithSalary'],com.linkedin.voyager.jobs.JobPosting,,
6,"{'lockModuleShown': True, 'salaryExplorerUrl': 'https://www.linkedin.com/salary/', 'insightExists': False, 'jobCompensationAvailable': True, '$type': 'com.linkedin.voyager.premium.SalaryInsights'}",urn:li:fsd_jobPosting:2751447440,"{'company': 'urn:li:fs_normalized_company:2458', '*companyResolutionResult': 'urn:li:fs_normalized_company:2458', '$recipeTypes': ['com.linkedin.voyager.deco.jserp.WebJobPostingWithCompanyName'], '$type': 'com.linkedin.voyager.jobs.JobPostingCompany'}",LISTED,Performance Management / MI Intern,,urn:li:fs_normalized_jobPosting:2751447440,,"{'applyStartersPreferenceVoid': True, 'companyApplyUrl': 'https://www.careers.zurich.com/job/Barcelona-Trainees-%28SM0000000034%29/734533902/?feedId=335902&utm_source=LinkedInJobPostings&utm_campaign=ZurichIns_LinkedIn', '$type': 'com.linkedin.voyager.jobs.OffsiteApply'}",urn:li:fs_jobSavingInfo:2751447440,False,"Barcelona, Catalonia, Spain",1639302850000,1635933617000,['com.linkedin.voyager.deco.jserp.WebSearchJobJserpJobPostingWithSalary'],com.linkedin.voyager.jobs.JobPosting,,www.careers.zurich.com
7,"{'lockModuleShown': True, 'salaryExplorerUrl': 'https://www.linkedin.com/salary/', 'insightExists': False, 'jobCompensationAvailable': True, '$type': 'com.linkedin.voyager.premium.SalaryInsights'}",urn:li:fsd_jobPosting:2784483258,"{'company': 'urn:li:fs_normalized_company:37209', '*companyResolutionResult': 'urn:li:fs_normalized_company:37209', '$recipeTypes': ['com.linkedin.voyager.deco.jserp.WebJobPostingWithCompanyName'], '$type': 'com.linkedin.voyager.jobs.JobPostingCompany'}",LISTED,FP&A AX Intern,,urn:li:fs_normalized_jobPosting:2784483258,,"{'applyStartersPreferenceVoid': True, 'companyApplyUrl': 'https://careers.criteo.com/job/CRITUSR13602ENUSEXTERNAL/FP-A-AX-Intern?utm_source=linkedin&utm_medium=phenom-feeds&lever-origin=applied&lever-source%255B%255D=LINKEDIN_PAID_POSTING', '$type': 'com.linkedin.voyager.jobs.OffsiteApply'}",urn:li:fs_jobSavingInfo:2784483258,False,"Barcelona, Catalonia, Spain",1638991434000,1636399435000,['com.linkedin.voyager.deco.jserp.WebSearchJobJserpJobPostingWithSalary'],com.linkedin.voyager.jobs.JobPosting,,careers.criteo.com
8,"{'lockModuleShown': True, 'salaryExplorerUrl': 'https://www.linkedin.com/salary/', 'insightExists': False, 'jobCompensationAvailable': True, '$type': 'com.linkedin.voyager.premium.SalaryInsights'}",urn:li:fsd_jobPosting:2755937274,"{'company': 'urn:li:fs_normalized_company:1586', '*companyResolutionResult': 'urn:li:fs_normalized_company:1586', '$recipeTypes': ['com.linkedin.voyager.deco.jserp.WebJobPostingWithCompanyName'], '$type': 'com.linkedin.voyager.jobs.JobPostingCompany'}",LISTED,Business Intelligence Intern - Spain,,urn:li:fs_normalized_jobPosting:2755937274,,"{'applyStartersPreferenceVoid': True, 'companyApplyUrl': 'https://www.amazon.jobs/jobs/1777437/business-intelligence-intern-spain?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid', '$type': 'com.linkedin.voyager.jobs.OffsiteApply'}",urn:li:fs_jobSavingInfo:2755937274,False,"Barcelona, Catalonia, Spain",1639826367000,1636457147000,['com.linkedin.voyager.deco.jserp.WebSearchJobJserpJobPostingWithSalary'],com.linkedin.voyager.jobs.JobPosting,,www.amazon.jobs
9,"{'lockModuleShown': True, 'salaryExplorerUrl': 'https://www.linkedin.com/salary/', 'insightExists': False, 'jobCompensationAvailable': True, '$type': 'com.linkedin.voyager.premium.SalaryInsights'}",urn:li:fsd_jobPosting:2796330822,"{'company': 'urn:li:fs_normalized_company:1082030', '*companyResolutionResult': 'urn:li:fs_normalized_company:1082030', '$recipeTypes': ['com.linkedin.voyager.deco.jserp.WebJobPostingWithCompanyName'], '$type': 'com.linkedin.voyager.jobs.JobPostingCompany'}",LISTED,Used Truck Intern,,urn:li:fs_normalized_jobPosting:2796330822,,"{'easyApplyUrl': 'https://www.linkedin.com/job-apply/2796330822', 'unifyApplyEnabled': True, '$type': 'com.linkedin.voyager.jobs.ComplexOnsiteApply'}",urn:li:fs_jobSavingInfo:2796330822,False,"Pallejà, Catalonia, Spain",1639320086000,1636728086000,['com.linkedin.voyager.deco.jserp.WebSearchJobJserpJobPostingWithSalary'],com.linkedin.voyager.jobs.JobPosting,,
