Rating,Review Quote,Full Review,Date of review,Date of visit
40,nice tapas and wine,"The place is cool and authentic decor ! Waiters are very nice and gave good tips to help you to choose your meal! Warning with the queue outside, you may wait for a while but it worth it ! typical spanish tapas and wine","Reviewed June 12, 2020",Date of visit: August 2019
50,Best tapas in Barcelona?,"If you’re in Barcelona, you’ll want to try some tapas. If you only have time to try tapas once, go here. We went on our first night of a five day trip and, although we had tapas elsewhere during our stay, this was the best. The premises are small, about 20 covers, and there’s no booking so you just have to turn up early. Fortunately we did. It’s cash only but for 40€ you can have the house selection for two – plentiful plates of delicious food (no fish or seafood) including Iberian ham and warm bread with tomato paste. Details like the warm bread – it’s often cold – mark this place down as the superior experience that it is. Our server, Kate, was delightful and helpful in equal measure. The wine list is short but appropriate. Highly recommended.Show less","Reviewed March 14, 2020",Date of visit: March 2020
50,Yummy tapas!,"We were looking for a different Bodega Biarritz, but ended up at this one. This location was able to seat our party of 3 whereas the other had at least a 20+ minute wait. The workers told us it's the same restaurant, just a different location. The food was amazing. We allowed them to select our tapas after they asked us a few questions. We asked for more meat than veggies. The veggie tapas had mushrooms and eggplant which my husband doesn't like so I ended up eating those tapas and they turned out to be really tasty. The meat ones were good, too. The jamon iberico appetizer was really good!! Our server was very attentive and checked in on us just enough. We definitely recommend this place.Show less","Reviewed March 8, 2020",Date of visit: February 2020
50,Amazing!,"The food was awesome, the atmospher was very cosy and the staff was very Nice. Kate was very good for recommandation and speaks multi languages ( spanish english french and maybe more). I recommand for sure this restaurant. Jacques and Coralie","Reviewed March 6, 2020",Date of visit: March 2020
50,Best Tapas in Barcelona,It was super packed when my party of 3 arrived. David was fantastic from the start he got us drinks while we waited. Then he guided us in and advised us on the best possible dinner. This is definitely one of the best places in Barcelona to eat. We met the owner he was an exceptional gentleman he even took the time to shake my entire groups hand as we left. The service and food were impeccable.Show less,"Reviewed March 2, 2020",Date of visit: March 2020
50,Great end to a lovely stay,We had a really lovely night here food was amazing really different and super tasty. beautiful wine too and reasonably priced. We went early evening and managed to get seated straightaway but queues were starting to form when we left as the place is quite small. Our server was great (David) he asked about our food preferences and catered accordingly - all in all a great experience and would definitely recommend.Show less,"Reviewed March 2, 2020",Date of visit: March 2020
50,Best Tapas of trip,"Amazing selection, very friendly staff and food delicious. Cannot fault anything but be aware doesn’t take credit cards","Reviewed March 1, 2020",Date of visit: March 2020
50,Best tapas!!!!,"Been here several times, every time i visit Barcelona I have to pass by. The best tapas in town by far. Would recommend it to anybody. David was a great host last time we went. Will be back soon!!","Reviewed March 1, 2020",Date of visit: March 2020
50,Very nice,"We went here after finding the restaurant browsing TripAdvisor, lovely food, great staff/service, good value, what more can you ask for, we had the €40 option and couldn’t fault any of it, we are in Barcelona for 3 nights, would happily go back here again to eat every evening but would like to try other restaurants, give it a try you won’t be disappointed, I will say though, if you like loads of space when you are eating then this isn’t the place for you.Show less","Reviewed February 29, 2020",Date of visit: February 2020
50,Absolutely loved it!!,"Wow!..... What an experience. The food was amazing and true true authentic tapas. The setting is lovely, all nicely lit, warming and romantic. Last but not least the service was the best I have experienced in a long time. So personable, warm and friendly, thanks to Oliver who looked after us. This place is a must if visiting Barcelona xShow less","Reviewed February 29, 2020",Date of visit: February 2020
