,Year of review,Month of review,Day of review,Rating,Review Quote,Full Review,Clean Full Review,Total Words Review,Total StopWords
0, 2013,4,28,4,We'd go back to Barcelona just for this food!!,"This little family run tapas bar was the best thing we have ever stumbled upon! It was unfortunate that we only discovered it on our second last day in Barcelona but we ate there twice and were not disappointed!We enjoyed the intimate atmosphere and the lovely owners. The sangria and the tapas were a lot more authentic and far tastier than anything that was marketed to the tourists on the Las Ramblas strip! It's very easy to find up a little alleyway next to the Placa Reial which is off the Las Ramblas. We would definitely recommend getting in early to get a seat at the bar. You won't be sorry. All the food was amazing but some of our favourites were the mushroom croquettes, chorizo (which comes with a side of patatas bravas) and the spicy skewered chicken. We have posted a picture also but seriously try everything! We'd go back to Barcelona just for that food!!!!Show less",little family run tapa bar best thing ever stumbled upon unfortunate discovered second last day barcelona ate twice disappointedwe enjoyed intimate atmosphere lovely owner sangria tapa lot authentic far tastier anything marketed tourist la ramblas strip easy find little alleyway next placa reial la ramblas would definitely recommend getting early get seat bar wont sorry food amazing favourite mushroom croquette chorizo come side patatas bravas spicy skewered chicken posted picture also seriously try everything wed go back barcelona foodshow le,159,79
1, 2013,5,21,4,The best tapas in town!,"A gem in a little street of of the placa real which is just off las ramblas.The staff were so friendly and helpful and the tapas were amazing.We went there twice and would have gone a third time if we hadn,t been a little late getting there.you must get there early it is very small and gets busy.The food was so good we had seconds the first time and the second time we just ordered more dishes.!!!!The chorizo,patatas bravas,the calimari,the meatballs,the crab balls,pimento pedron,the chicken,the poato cakes with chorizo,the beef with cheese,the iberico ham,manchengo cheese and olives were all superb and this is only a selection of dishes we had over the two visits.There was so much to choose from.When we go back to barcelona we shall definately be paying this lovely authentic tapas bar a visit or two or three again!!Show less",gem little street placa real la ramblasthe staff friendly helpful tapa amazingwe went twice would gone third time hadnt little late getting thereyou must get early small get busythe food good second first time second time ordered dishesthe chorizopatatas bravasthe calimarithe meatballsthe crab ballspimento pedronthe chickenthe poato cake chorizothe beef cheesethe iberico hammanchengo cheese olive superb selection dish two visitsthere much choose fromwhen go back barcelona shall definately paying lovely authentic tapa bar visit two three againshow le,143,65
2, 2013,6,1,5,Not bad but not amazing,"We went to this little restaurant last night. It was relatively easy to find and we grabbed a table in the corner pretty easy as well ( we went around 9pm). The staff spoke English well and were helpful in telling us what everything was. You go up to the bar when ready and you order whatever you would like ... kinda in a buffet style ... the food is all there laid out in front of you and then they heat it all up and bring it over on a platter. Kinda like getting to make your own appetizer platter. The only problem with this way of ordering food is we never find it to be warm enough ... usually they just pop it into a microwave so the middle tends to be cold. We had meatballs, a couple different types of crocketts and a catalan egg dish. The best thing was the mushroom crockett.If you are looking to eat were the locals eat, this is not the place ... they do do local food but the feeling is pretty touristy. Not a bad place but I would say nothing special and we would choose something different the next time.Show less",went little restaurant last night relatively easy find grabbed table corner pretty easy well went around 9pm staff spoke english well helpful telling u everything go bar ready order whatever would like kinda buffet style food laid front heat bring platter kinda like getting make appetizer platter problem way ordering food never find warm enough usually pop microwave middle tends cold meatball couple different type crockett catalan egg dish best thing mushroom crockettif looking eat local eat place local food feeling pretty touristy bad place would say nothing special would choose something different next timeshow le,202,100
3, 2013,6,2,4,Top Tapas,This small cosy tapas bar just off the square was fantastic. We turned up as a large group of adults and kids and the friendly staff welcomed us and helped us with our food orders. The food was fantastic. We all really enjoyed it. A great night and would highly recommend this place.Show less,small cosy tapa bar square fantastic turned large group adult kid friendly staff welcomed u helped u food order food fantastic really enjoyed great night would highly recommend placeshow le,54,23
4, 2013,6,25,4,A gem of a place!,"We stumbled on this little tapas bar and made sure that we returned the following evening for more food and even more mojito's! Manu the owner prepares all the food himself, its fresh and delicious and you couldn't wish to meet more hospitable people. Yes it can get busy but you are never overlooked and you dont have to wait for the food. I would certainly recommend a visit.Show less",stumbled little tapa bar made sure returned following evening food even mojitos manu owner prepares food fresh delicious couldnt wish meet hospitable people yes get busy never overlooked dont wait food would certainly recommend visitshow le,70,34
5, 2013,6,25,4,Nipped in for a drink...... 4 hours later... fabulous!,Passed this little tapas bar just of Placa Reial Barcelona by chance. Initially we were just going to have a drink and a snack as we planned on eating out later that night. It was daylight when we went in this place and dark when we came out!!!! It was wonderful.The only problem with this place is its not big enough it could probably only seat about 20 people max so you would either have to wait or get lucky like us and find some seats. Saying that its sooooo worth it and maybe the size is part of its charm. The little tapas snacks were amazing and varied and ran the whole length of the bar. The waitress was very happy to explain what each one was to help you choose and they are cooked right in front of you. They have a nice range of beers and wines and the atmosphere is laid back and relaxed.Show less,passed little tapa bar placa reial barcelona chance initially going drink snack planned eating later night daylight went place dark came wonderfulthe problem place big enough could probably seat 20 people max would either wait get lucky like u find seat saying sooooo worth maybe size part charm little tapa snack amazing varied ran whole length bar waitress happy explain one help choose cooked right front nice range beer wine atmosphere laid back relaxedshow le,159,82
6, 2013,7,11,4,our best meal in Spain!,"Super friendly staff and great food. Highly, highly recommend it. Just go! The Woman in charge what explain the The system and guide you through the entire tapas process",super friendly staff great food highly highly recommend go woman charge explain system guide entire tapa process,29,11
7, 2013,7,13,4,Really special place,"I tend to prefer more conventional places but on a warm Barcelona evening this was a real treat. As other reviews have said, get there early -8pm isn't too hard for Brits and then you can sit at the bar in front of mouth-watering tapas selections.Service is efficient and friendly, English speaking which helps work out what you want to eat.Very highly recommended all round.Show less",tend prefer conventional place warm barcelona evening real treat review said get early 8pm isnt hard brit sit bar front mouthwatering tapa selectionsservice efficient friendly english speaking help work want eatvery highly recommended roundshow le,66,32
8, 2013,7,14,5,A breath of fresh air in an area too touristy by half!,"A quaint little bar, slotted in the wall amongst the bustling tourist trade. The staff, some of whom hail from the south of France, bring a breath of fresh air to a town with too much run of the mill tapas on stale bread served in brightly lit overcrowded shopfronts. From Munolo heating the food and preparing a great Majito, to Stephanie dashing up and down and explaining the dishes behind a slim bar front the place oozes the charm, and character that tge spanish (and French) are known for.Show less",quaint little bar slotted wall amongst bustling tourist trade staff hail south france bring breath fresh air town much run mill tapa stale bread served brightly lit overcrowded shopfront munolo heating food preparing great majito stephanie dashing explaining dish behind slim bar front place ooze charm character tge spanish french known forshow le,91,37
9, 2013,7,15,4,Excellent affordable tapas in a cozy setting,"This place is on a small street off the large square in the gothic quarter. Pretty easy to just pass it by - but that would be a mistake! We were 4 adults and 4 children, and were seated quickly by the lady behind the bar. The place is small, and we sat at the bar. The food is laid out on the bar so you can pick and choose what you like. Great choices for vegetarians as well. The food was excellent and probably the best tapas we had in Barcelona (some in our group say in Spain, but I think there was a place in Begur that was way up there). We had a few drinks and several tapas (more than prudent, perhaps) and it was not expensive at all. All the tapas were about 2 euro or thereabouts. The burger was disappointing - but other than that the food overall was excellent. Their mushroom croquettes were especially memorable. Be sure to visit!Show less",place small street large square gothic quarter pretty easy pas would mistake 4 adult 4 child seated quickly lady behind bar place small sat bar food laid bar pick choose like great choice vegetarian well food excellent probably best tapa barcelona group say spain think place begur way drink several tapa prudent perhaps expensive tapa 2 euro thereabouts burger disappointing food overall excellent mushroom croquette especially memorable sure visitshow le,166,90
