geoName,HR Analytics,HRA_Rank,People Analytics,PA_Rank,Talent Analytics,TA_Rank
Singapore,100,1,100.0,1.0,,
India,55,2,37.0,8.0,100.0,1.0
St. Helena,50,3,,,,
Netherlands,44,4,30.0,11.0,,
United Arab Emirates,33,5,37.0,8.0,,
Kenya,29,6,,,,
Nigeria,28,7,49.0,7.0,,
Ireland,26,8,52.0,2.0,,
South Africa,25,9,34.0,10.0,,
Philippines,22,10,19.0,21.0,,
Hong Kong,20,11,25.0,16.0,,
Malaysia,19,12,18.0,24.0,,
Canada,17,14,52.0,2.0,57.0,5.0
United Kingdom,17,14,50.0,5.0,62.0,3.0
Belgium,17,14,,,,
Pakistan,16,16,23.0,17.0,,
United States,15,17,50.0,5.0,81.0,2.0
Switzerland,15,17,29.0,13.0,,
South Korea,14,19,19.0,21.0,,
Australia,13,20,50.0,5.0,61.0,4.0
Denmark,11,21,29.0,13.0,,
Finland,9,22,23.0,17.0,,
Germany,8,23,19.0,21.0,,
Egypt,7,25,,,,
Sweden,7,25,29.0,13.0,,
Spain,7,25,18.0,24.0,,
Thailand,6,28,7.0,32.0,,
Vietnam,6,28,8.0,29.0,,
Norway,6,28,19.0,21.0,,
Indonesia,4,30,5.0,35.0,,
Italy,3,32,7.0,32.0,,
Turkey,3,32,,,,
France,3,32,6.0,34.0,,
Argentina,3,32,11.0,27.0,,
Brazil,2,35,27.0,15.0,,
Russia,2,35,,,,
