puerto,provincia,pueblo,altitud,distancia,desnivel,pendiente,coeficiente
SIERRA NEVADA-PICO VELETA,GRANADA,Haza Llanas-Las Sabinas,3296,39,2527,6,616
ANGLIRU,ASTURIAS,Santa Eulalia,1570,18,1423,7,528
GAMONITEIRO,ASTURIAS,Pola-Cobertoria,1772,15,1465,9,492
PEÑA ESCRITA,GRANADA,Torrecuevas,1200,13,1150,8,462
ANCARES,LUGO,Sª Morela-Balouta,1670,36,1355,3,427
PAJARES-CUITU NEGRU,ASTURIAS,Campomanes,1843,25,1466,5,394
PUERTO CAMACHO-SIERRA DE LÚJAR,GRANADA,Órgiva-Los Tablones,1873,20,1551,7,384
MORREDERO - PORTILLINOS,LEÓN,Ponferrada,1946,33,1436,4,378
NAVACERRADA-BOLA DEL MUNDO,MADRID,Collado Villalba,2258,21,1369,6,353
MONT CARO,TARRAGONA,Roquetes,1436,22,1427,6,352
SALTO DE LA CABRA,CANTABRIA,La Hermida,1116,10,1011,9,346
ARIMEGORTA,BIZKAIA,Lanbreabe (Zeanuri),900,4,610,14,335
CALAR ALTO,ALMERÍA,Tíjola,2162,32,1507,4,333
CARRASCOY,MURCIA,MU - 603,1058,9,868,9,322
OIZ,BIZKAIA,Gernika,1019,20,1012,5,313
HAZA DEL LINO,GRANADA,Rubite,1302,22,1291,5,312
VELEFIQUE-TETICA DE BACARES,ALMERÍA,Velefique,2078,23,1399,5,310
PEÑAS BLANCAS-LOS REALES,MÁLAGA,Estepona,1447,21,1442,6,310
FONTE DA COVA-COLLADA TREVINCA,OURENSE,Sobradelo,1837,27,1507,5,301
PRADELL,BARCELONA,Guardiola de Berguedà,1732,14,1027,6,301
TURÓ DE L´HOME,BARCELONA,Sant Celoni,1654,25,1495,5,299
CABEZA DE MANZANEDA,OURENSE,Bibei-Manzaneda,1760,30,1448,4,298
"PANDERA, LA",JAÉN,Los Villares,1839,23,1255,5,298
ERMITA DE ALBA,ASTURIAS,Bárzana,1196,6,762,11,294
SIERRA DE BERNIA,ALICANTE,CV - 755,687,5,626,12,293
JITU DE ESCARANDI-COLLADA BARREDA,ASTURIAS,Poncebos,1316,14,1105,7,289
"RAGUA, LA",GRANADA,Cherín,2041,25,1508,6,286
SIERO,ASTURIAS,Carballo,1143,6,653,9,285
IBAÑETA-ORTZANZURIETA,NAVARRA,Arnegi,1560,24,1315,5,280
REDONDAL,LEÓN,Turienzo Castañero,1530,9,860,9,278
PAGOLAR,ÁLAVA,Llodio,720,6,580,9,276
RASOS DE PEGUERA,BARCELONA,Berga,1892,16,1221,7,274
SAN LORENZO,ASTURIAS,La Riera,1346,9,855,8,271
LAGOS DE COVADONGA,ASTURIAS,AS-114,1124,13,962,6,268
VENTA LUISA - CALAR ALTO,ALMERÍA,Gérgal,1968,19,1251,6,268
CERRO DEL MORO (REPETIDOR DE MIJAS),MÁLAGA,Benalmádena,952,14,933,6,266
BELAUSTEGI,BIZKAIA,Ibarra (Orozko),749,4,511,10,263
PEÑA AGUDA-LLANO DE LAS OVEJAS,LEÓN,Nogar,1946,18,1138,6,261
PICÓN DEL FRAILE,BURGOS,San Roque de Riomiera,1614,27,1420,5,260
MORRÓN DE ESPUÑA-COLLADO BERMEJO,MURCIA,Alhama,1568,26,1383,5,258
PORT AINÉ,LLEIDA,C-13 entre Rialp y Llavorsí,1978,18,1238,6,256
EL YELMO,JAÉN,Cortijos Nuevos,1801,15,1056,6,255
