id,name,isin,symbol,contractSize,productType,productTypeId,tradable,category,currency,exchangeId,onlyEodPrices,orderTimeTypes,buyOrderTypes,sellOrderTypes,productBitTypes,closePrice,closePriceDate,feedQuality,orderBookDepth,vwdIdentifierType,vwdId,qualitySwitchable,qualitySwitchFree,vwdModuleId,strikePrice,expirationDate
4969975,RABOCERTIFFRNPL,XS1002121454,RABO,0.01,BOND,2,True,A,EUR,200,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],130.86,2021-04-09,R,0.0,issueid,600015811,False,False,1.0,,
175317,AEGON 4.26%PL,NL0000120889,NL0000120889,0.01,BOND,2,True,C,NLG,200,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],79.0,2021-04-09,R,0.0,issueid,12822,False,False,1.0,-0.0001,
175319,AEGON 1.425%PL,NL0000121416,NL0000121416,0.01,BOND,2,True,D,NLG,200,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],91.0,2021-04-09,R,0.0,issueid,12820,False,False,1.0,-0.0001,
5372507,EKOSEM-AGRAR AG 12/22,DE000A1R0RZ5,1E5B,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']",[],101.51,2021-04-09,R,0.0,issueid,150056899,False,False,25.0,,7-12-2022
854384,NIBC FRN21FEB40,XS0210781828,XS0210781828,0.01,BOND,2,True,D,EUR,200,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],99.5,2021-04-09,R,0.0,issueid,205120,False,False,1.0,-0.0001,21-2-2040
876101,CASINO TV TSDI,FR0010154385,CATS,0.01,BOND,2,True,C,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],40.0,2021-04-09,R,0.0,issueid,365013110,False,False,1.0,-0.0001,
17986625,SLB 4% 17JUL23,PTSLBBOM0019,BSLBB,0.01,BOND,2,True,A,EUR,560,False,['DAY'],['LIMIT'],['LIMIT'],[],99.21,2021-04-09,R,0.0,issueid,240119634,False,False,1.0,,17-7-2023
879294,TRANQ.VIDA FRNPL,PTTRVBOE0000,BTRVB,0.01,BOND,2,True,D,EUR,560,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],75.0,2021-04-09,R,0.0,issueid,240170103,False,False,1.0,-0.0001,
16183158,"SIC 4,5% 11JUL22",PTSINAOM0045,BSINA,0.01,BOND,2,True,C,EUR,560,False,['DAY'],['LIMIT'],['LIMIT'],[],101.0,2021-04-09,R,0.0,issueid,240261043,False,False,1.0,,11-7-2022
875993,BNPTMOFRN29OCT49,FR0000572646,FR0000572646,0.01,BOND,2,True,D,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],85.13,2021-04-09,R,0.0,issueid,360182017,False,False,1.0,-0.0001,
