,id,mun,cp,superficie km,hab/km2,poblacion,% estudios primarios o inf,% primera etapa secundaria,% segunda etapa secundaria,% estudios superiores,% poblacion desocupada,pib por habitante (euros),renta familiar disponible
0,430017,Aiguamúrcia,43714,72.95,12.8,930,14.9,36.8,21.3,27.0,44.44,26217.9,no disponible
1,430017,Aiguamúrcia,43815,72.95,12.8,930,14.9,36.8,21.3,27.0,44.44,26217.9,no disponible
2,430056,Alcover,43460,46.00,111.8,5144,17.3,36.1,20.9,25.6,27.86,23.8,15.5
3,430056,Alcover,43461,46.00,111.8,5144,17.3,36.1,20.9,25.6,27.86,23.8,15.5
4,430108,Alió,43813,7.25,63.2,458,11.2,35.7,24.5,28.5,44.28,47757.7,no disponible
5,430347,Bràfim,43812,6.42,108.3,695,17.7,34.0,21.4,27.0,45.1,31326.0,no disponible
6,430363,Cabra,43811,26.95,43.6,1175,19.0,35.1,25.4,20.5,36.11,13.0,4091
7,430593,Figuerola,43811,22.72,14.5,329,12.0,29.5,22.2,36.4,44.67,27169.9,no disponible
8,430593,Figuerola,43813,22.72,14.5,329,12.0,29.5,22.2,36.4,44.67,27169.9,no disponible
9,430666,"Garidells,",43153,3.07,61.9,190,7.9,32.7,29.1,30.3,48.94,49502.6,no disponible
10,430803,"Masó,",43143,3.57,78.4,280,12.6,29.0,20.6,37.8,43.33,36961.2,no disponible
11,430831,"Milà,",43143,4.13,46.0,190,11.8,38.8,17.8,31.6,48.68,26135.7,no disponible
12,430897,Montferri,43812,19.15,21.0,403,15.7,38.2,24.8,21.3,47.37,28434.3,no disponible
13,430918,Mont-ral,43364,34.72,4.8,168,10.2,22.4,24.5,42.9,37.5,28828.7,no disponible
14,430918,Mont-ral,43459,34.72,4.8,168,10.2,22.4,24.5,42.9,37.5,28828.7,no disponible
15,430982,Nulles,43887,10.61,48.0,509,8.6,24.2,30.3,36.9,43.3,22185.4,no disponible
16,431080,Pla,43810,34.99,67.1,2348,19.8,36.6,20.1,23.5,25.06,15.4,4476
17,431135,Pont,43817,21.67,22.5,488,26.1,37.4,19.4,17.1,43.01,34058.8,no disponible
18,431191,Puigpelat,43812,9.48,122.7,1163,11.7,34.8,23.0,30.5,18.93,14.4,5123
19,431205,Querol,43715,72.26,7.2,518,14.8,37.7,26.0,21.5,40.45,22120.3,no disponible
20,431205,Querol,43816,72.26,7.2,518,14.8,37.7,26.0,21.5,40.45,22120.3,no disponible
21,431248,"Riba,",43450,7.99,73.2,585,21.9,33.0,22.1,22.9,38.43,6861.1,no disponible
22,431325,Rodonyà,43812,8.49,58.2,494,17.8,38.8,24.2,19.2,44.04,49407.9,no disponible
23,431346,"Rourell,",43142,2.32,160.3,372,12.9,34.9,28.0,24.2,46.33,31247.7,no disponible
24,431606,Vallmoll,43144,16.68,106.3,1774,14.3,33.2,24.5,27.9,20.4,15.8,5731
25,431613,Valls,43491,55.28,442.8,24477,18.8,35.8,19.8,25.6,25.28,35.2,16.0
26,431613,Valls,43800,55.28,442.8,24477,18.8,35.8,19.8,25.6,25.28,35.2,16.0
27,431613,Valls,43813,55.28,442.8,24477,18.8,35.8,19.8,25.6,25.28,35.2,16.0
28,431652,Vilabella,43886,18.19,40.1,729,19.1,27.8,22.6,30.4,43.58,28898.8,no disponible
29,431704,Vila-rodona,43814,33.11,38.5,1276,19.5,34.3,19.5,26.7,23.99,14.5,5065
30,170010,Agullana,17707,27.73,31.1,863,18.4,30.9,25.4,25.3,50.65,37019.8,no disponible
31,170031,Albanyà,17733,94.39,1.6,155,13.0,29.0,35.1,22.9,39.29,41466.3,no disponible
32,170031,Albanyà,17734,94.39,1.6,155,13.0,29.0,35.1,22.9,39.29,41466.3,no disponible
33,170059,Far,17469,9.00,66.9,602,17.5,35.7,22.5,24.3,46.9,72208.3,no disponible
34,170118,"Armentera,",17472,5.60,169.8,951,20.0,26.0,19.5,34.5,43.67,40543.9,no disponible
35,170123,Avinyonet,17742,12.30,133.4,1641,12.5,35.4,27.0,25.1,20.64,16.5,5094
36,170144,"Vajol,",17707,4.71,18.9,89,13.1,27.4,35.7,23.8,35.14,33305.9,no disponible
37,170160,Bàscara,17468,17.50,57.2,1001,15.0,37.6,23.1,24.4,44.03,42860.9,no disponible
38,170160,Bàscara,17483,17.50,57.2,1001,15.0,37.6,23.1,24.4,44.03,42860.9,no disponible
39,170268,Borrassà,17770,9.45,77.6,733,7.7,35.6,25.0,31.7,43.3,45279.6,no disponible
40,170293,Boadella,17723,10.78,25.2,272,10.6,38.1,24.3,27.0,47.37,71909.1,no disponible
41,170307,Cabanes,17761,15.02,64.5,968,11.6,48.2,19.3,20.9,42.16,45005.1,no disponible
42,170314,Cabanelles,17746,55.58,4.8,267,13.1,33.1,21.6,32.2,36.26,53671.6,no disponible
43,170314,Cabanelles,17747,55.58,4.8,267,13.1,33.1,21.6,32.2,36.26,53671.6,no disponible
44,170329,Cadaqués,17488,26.43,102.0,2695,22.0,35.0,22.4,20.5,28.65,13.5,5880
45,170412,Cantallops,17708,19.62,15.8,309,17.4,29.3,33.3,20.0,44.54,35557.9,no disponible
46,170427,Capmany,17750,26.40,23.1,611,21.2,29.0,27.7,22.2,45.28,72269.4,no disponible
47,170470,Castelló,17486,42.30,262.4,11100,26.2,27.8,25.4,20.6,40.53,27.9,12.4
48,170470,Castelló,17487,42.30,262.4,11100,26.2,27.8,25.4,20.6,40.53,27.9,12.4
49,170519,Cistella,17741,25.55,11.0,282,17.3,29.3,18.9,34.5,45.74,55112.0,no disponible
50,170524,Siurana,17469,10.53,16.2,171,7.9,27.8,28.5,35.8,48.15,92459.3,no disponible
51,170545,Colera,17496,24.35,18.3,445,19.0,24.1,21.7,35.2,45.39,31341.3,no disponible
52,170600,Darnius,17722,34.93,15.4,537,9.6,44.1,25.0,21.3,41.88,41970.7,no disponible
53,170622,"Escala,",17130,16.31,628.1,10244,24.5,29.4,25.8,20.3,32.59,21.1,15.9
54,170643,Espolla,17753,43.55,9.5,412,18.4,27.0,25.4,29.1,49.1,82411.5,no disponible
55,170669,Figueres,17484,19.30,2447.4,47235,28.1,35.8,19.7,16.5,31.73,24.3,11.9
56,170669,Figueres,17600,19.30,2447.4,47235,28.1,35.8,19.7,16.5,31.73,24.3,11.9
57,170741,Fortià,17469,10.76,73.1,787,18.3,30.1,23.6,28.0,46.59,51781.9,no disponible
58,170754,Garrigàs,17476,19.89,22.7,451,8.6,27.0,27.8,36.5,44.34,48500.0,no disponible
59,170754,Garrigàs,17773,19.89,22.7,451,8.6,27.0,27.8,36.5,44.34,48500.0,no disponible
60,170773,Garriguella,17780,21.01,40.6,853,16.5,29.4,25.6,28.5,45.16,53434.3,no disponible
61,170865,"Jonquera,",17700,56.93,58.3,3320,30.2,41.7,18.0,10.1,17.79,14.2,11863
62,170865,"Jonquera,",17708,56.93,58.3,3320,30.2,41.7,18.0,10.1,17.79,14.2,11863
63,170865,"Jonquera,",17709,56.93,58.3,3320,30.2,41.7,18.0,10.1,17.79,14.2,11863
64,170887,Lladó,17745,13.50,62.5,844,6.5,14.0,48.2,31.4,46.96,41266.8,no disponible
65,170926,Llançà,17490,27.98,170.7,4775,22.9,34.6,20.6,21.8,22.65,22.2,15.4
66,170932,Llers,17730,21.28,58.1,1237,18.5,33.3,22.0,26.2,16.83,17.6,6000
