,Year,Winning team,Score,Losing team,Stadium,City,Attendance,Referee
0, 1967,Green Bay Packers,35–10,Kansas City Chiefs,Los Angeles Memorial Coliseum,Los Angeles,61946,Norm Schachter
1, 1968,Green Bay Packers,33–14,Oakland Raiders,Miami Orange Bowl,Miami,75546,Jack Vest
2, 1969,New York Jets,16–7,Baltimore Colts,Miami Orange Bowl ,Miami,75389,Tom Bell
3, 1970,Kansas City Chiefs,23–7,Minnesota Vikings,Tulane Stadium,New Orleans,80562,John McDonough
4, 1971,Baltimore Colts,16–13,Dallas Cowboys,Miami Orange Bowl ,Miami,79204,Norm Schachter
5, 1972,Dallas Cowboys,24–3,Miami Dolphins,Tulane Stadium ,New Orleans,81023,Jim Tunney
6, 1973,Miami Dolphins,14–7,Washington Redskins,Los Angeles Memorial Coliseum ,Los Angeles,90182,Tom Bell
7, 1974,Miami Dolphins,24–7,Minnesota Vikings,Rice Stadium,Houston,71882,Ben Dreith
8, 1975,Pittsburgh Steelers,16–6,Minnesota Vikings,Tulane Stadium ,New Orleans,80997,Bernie Ulman
9, 1976,Pittsburgh Steelers,21–17,Dallas Cowboys,Miami Orange Bowl ,Miami,80187,Norm Schachter
10, 1977,Oakland Raiders,32–14,Minnesota Vikings,Rose Bowl,Pasadena,103438,Jim Tunney
11, 1978,Dallas Cowboys,27–10,Denver Broncos,Louisiana Superdome,New Orleans,76400,Jim Tunney
12, 1979,Pittsburgh Steelers,35–31,Dallas Cowboys,Miami Orange Bowl ,Miami,79484,Pat Haggerty
13, 1980,Pittsburgh Steelers,31–19,Los Angeles Rams,Rose Bowl ,Pasadena,103985,Fred Silva
14, 1981,Oakland Raiders,27–10,Philadelphia Eagles,Louisiana Superdome ,New Orleans,76135,Ben Dreith
15, 1982,San Francisco 9ers,26–21,Cincinnati Bengals,Pontiac Silverdome,Pontiac,81270,Pat Haggerty
16, 1983,Washington Redskins,27–17,Miami Dolphins,Rose Bowl ,Pasadena,103667,Jerry Markbreit
17, 1984,Los Angeles Raiders,38–9,Washington Redskins,Tampa Stadium,Tampa,72920,Gene Barth
18, 1985,San Francisco 9ers,38–16,Miami Dolphins,Stanford Stadium,Stanford,84059,Pat Haggerty
19, 1986,Chicago Bears,46–10,New England Patriots,Louisiana Superdome ,New Orleans,73818,Red Cashion
20, 1987,New York Giants,39–20,Denver Broncos,Rose Bowl ,Pasadena,101063,Jerry Markbreit
21, 1988,Washington Redskins,42–10,Denver Broncos,San Diego,San Diego,73302,Bob McElwee
22, 1989,San Francisco 9ers,20–16,Cincinnati Bengals,Joe Robbie Stadium,Miami,75129,Jerry Seeman
23, 1990,San Francisco 9ers,55–10,Denver Broncos,Louisiana Superdome ,New Orleans,72919,Dick Jorgensen
24, 1991,New York Giants,20–19,Buffalo Bills,Tampa Stadium ,Tampa,73813,Jerry Seeman
25, 1992,Washington Redskins,37–24,Buffalo Bills,Metrodome,Minneapolis,63130,Jerry Markbreit
26, 1993,Dallas Cowboys,52–17,Buffalo Bills,Rose Bowl ,Pasadena,98374,Dick Hantak
27, 1994,Dallas Cowboys,30–13,Buffalo Bills,Georgia Dome,Atlanta,72817,Bob McElwee
