id,name,isin,symbol,contractSize,productType,productTypeId,tradable,category,currency,exchangeId,onlyEodPrices,orderTimeTypes,buyOrderTypes,sellOrderTypes,productBitTypes,closePrice,closePriceDate,feedQuality,orderBookDepth,vwdIdentifierType,vwdId,qualitySwitchable,qualitySwitchFree,vwdModuleId,etfIssuerId,feeType,region,totalExpenseRatio,quoteCurrency,assetAllocation,administrator,benchmark,class,feedQualitySecondary,orderBookDepthSecondary,vwdIdentifierTypeSecondary,vwdIdSecondary,qualitySwitchableSecondary,qualitySwitchFreeSecondary,vwdModuleIdSecondary,strikePrice,expirationDate
10509601,iShares Global Clean Energy UCITS ETF USD (Dist),IE00B1XNHC34,IQQH,1.0,ETF,131,True,H,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],11.266,2021-04-09,D15,0.0,issueid,480174121,False,False,25.0,39,1,Worldwide,0.65,PNC,Shares,BlackRock Asset Management Ireland Ltd,S&P Global Clean Energy,USD (Dist),,,,,,,,,
4587473,Vanguard S&P 500 UCITS ETF USD,IE00B3XXRP09,VUSA,1.0,ETF,131,True,H,EUR,200,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],65.475,2021-04-09,R,0.0,issueid,550645,False,False,1.0,66,2,United States,0.07,EUR,Shares,Vanguard Group (Ireland) Ltd,S&P 500,(USD) Distributing,,,,,,,,,
4586985,VANGUARD FTSE ALL-WORLD U.ETF,IE00B3RBWM25,VWRL,1.0,ETF,131,True,H,EUR,200,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],95.99,2021-04-09,R,0.0,issueid,61114463,False,False,1.0,66,2,Worldwide,0.22,EUR,Shares,Vanguard Group (Ireland) Ltd,FTSE Developed All Cap ex Controversies/Non-Renewable Energy/Vice Products/Weapons Index Net EUR,(USD) Distributing,,,,,,,,,
4629281,SPROTT PHYSICAL SILVER,CA85207K1075,PSLV,1.0,ETF,131,True,A,USD,1004,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],9.02,2021-04-09,D15,0.0,issueid,330000457,False,False,10.0,59,1,*none*,,*none*,*none*,*none*,*none*,*none*,BT,0.0,vwdkey,"PSLV.BATS,E",True,False,31.0,,
846772,ISHSIII-CORE MSCI WORLD U.ETF,IE00B4L5Y983,IWDA,1.0,ETF,131,True,H,EUR,200,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],66.77,2021-04-09,R,0.0,issueid,319919,False,False,1.0,39,2,Worldwide,0.2,EUR,Shares,BlackRock Asset Management Ireland Ltd,MSCI World EUR,USD (Acc),,,,,,,,-0.0001,
5194506,ISHSIII-CORE MSCI WORLD U.ETF,IE00B4L5Y983,EUNL,1.0,ETF,131,True,H,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],66.76,2021-04-09,D15,0.0,issueid,480011718,False,False,25.0,39,1,Worldwide,0.2,EUR,Shares,BlackRock Asset Management Ireland Ltd,MSCI World EUR,USD (Acc),,,,,,,,,
4625543,iShares Core FTSE 100 UCITS ETF (Dist),IE0005042456,ISF,1.0,ETF,131,True,H,GBX,570,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],680.5,2021-04-09,D15,0.0,issueid,260186579,True,False,14.0,39,1,Great Britain,0.07,EUR,Shares,BlackRock Asset Management Ireland Ltd,FTSE 100-index,GBP (Dist),,,,,,,,,
4622447,iShares Global Clean Energy UCITS ETF USD (Dist),IE00B1XNHC34,INRG,1.0,ETF,131,True,H,EUR,608,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLIMIT']",[],11.27,2021-04-09,D15,0.0,issueid,300099428,True,False,12.0,39,1,Worldwide,0.65,PNC,Shares,BlackRock Asset Management Ireland Ltd,S&P Global Clean Energy,USD (Dist),,,,,,,,,
882966,ISHARES CORE DAX UCITS ETF DE,DE0005933931,EXS1,1.0,ETF,131,True,H,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],129.56,2021-04-09,D15,0.0,issueid,480172111,False,False,25.0,39,2,Germany,0.16,EUR,Shares,BlackRock Asset Management Deutschland,DAX®,EUR (Acc),,,,,,,,,
4624934,iShares Core S&P 500 UCITS ETF USD (Acc),IE00B5BMR087,CSPX,1.0,ETF,131,True,H,USD,570,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],415.55,2021-04-09,D15,0.0,issueid,260011946,True,False,14.0,39,1,United States,0.07,EUR,Shares,BlackRock Asset Management Ireland Ltd,S&P 500,USD (Acc),,,,,,,,,
