id,name,isin,symbol,contractSize,productType,productTypeId,tradable,category,currency,strikePrice,exchangeId,onlyEodPrices,orderTimeTypes,buyOrderTypes,sellOrderTypes,productBitTypes,closePrice,closePriceDate,feedQuality,orderBookDepth,vwdIdentifierType,vwdId,qualitySwitchable,qualitySwitchFree,vwdModuleId,issuerId
847120,KEMPEN ORANJE PART,NL0000440675,KORPT,1,FUND,13,True,D,EUR,-0.0001,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],276.27,2021-04-09,R,0.0,issueid,12202,False,False,1.0,21
7734080,ACTIAM Duurzaam Index Aandelenfonds Wereld,NL0011309349,AVIAW,1,FUND,13,True,I,EUR,,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],43.21,2021-04-09,R,0.0,issueid,600211089,False,False,1.0,74
846942,KEMPEN ORANGE FD,NL0000289627,KORAF,1,FUND,13,True,D,EUR,-0.0001,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],132.09,2021-04-09,R,0.0,issueid,12135,False,False,1.0,21
847326,KEMPEN GBL HIGH DI,NL0006089229,KGHDF,1,FUND,13,True,H,EUR,-0.0001,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],32.89,2021-04-09,R,0.0,issueid,253252,False,False,1.0,21
8458590,WP STEWART HOLDINGS FUND,LU0237484448,WPSEU,1,FUND,13,True,I,EUR,,10002,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],625.75,2021-04-09,R,0.0,issueid,60006156,False,False,19.0,44
1855959,ROBECO GLOBAL STARS EQUITIES FUND EUR G,NL0010366407,ROBB,1,FUND,13,True,D,EUR,,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],62.58,2021-04-09,R,0.0,issueid,522871,False,False,1.0,26
4810206,KEMPEN SUSTAINABLE,NL0010558854,KGSEF,1,FUND,13,True,D,EUR,,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],105.12,2021-04-09,R,0.0,issueid,574362,False,False,1.0,21
847028,KE EUR HIGH DIV FD,NL0000293348,KEHDF,1,FUND,13,True,D,EUR,-0.0001,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],6.76,2021-04-09,R,0.0,issueid,25844,False,False,1.0,21
4835795,ACTIAM Duurzaam Mixfonds Neutraal,NL0010579165,SNSOO,1,FUND,13,True,I,EUR,,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],27.48,2021-04-09,R,0.0,issueid,600010155,False,False,1.0,70
4835796,ACTIAM Duurzaam Mixfonds Offensief,NL0010579173,SNSOR,1,FUND,13,True,I,EUR,,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],23.56,2021-04-09,R,0.0,issueid,600010157,False,False,1.0,70
846949,ROBECO,NL0000289783,ROBA,1,FUND,13,True,D,EUR,-0.0001,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],57.34,2021-04-09,R,0.0,issueid,11787,False,False,1.0,26
1745590,HH PHOENIX FUND,NL0009864487,HHPF,1,FUND,13,True,A,EUR,,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],29.59,2021-04-09,R,0.0,issueid,249857,False,False,1.0,40
5457901,DD Equity Fund,NL0010511002,DDEF,1,FUND,13,True,I,EUR,,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],260.06,2021-04-09,R,0.0,issueid,612847,False,False,1.0,73
4803874,ROLINCO - EUR G,NL0010510798,ROLG,1,FUND,13,True,D,EUR,,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],64.93,2021-04-09,R,0.0,issueid,571128,False,False,1.0,26
4835794,ACTIAM Duurzaam Mixfonds Defensief,NL0010579157,SNSOG,1,FUND,13,True,I,EUR,,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],27.3,2021-04-09,R,0.0,issueid,600010153,False,False,1.0,70
846951,ROLINCO,NL0000289817,ROLA,1,FUND,13,True,D,EUR,-0.0001,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],60.42,2021-04-09,R,0.0,issueid,12174,False,False,1.0,26
1745588,HH VALUE FUND,NL0009864461,HHVF,1,FUND,13,True,D,EUR,,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],28.2,2021-04-09,R,0.0,issueid,61407952,False,False,1.0,40
11334338,US CONSERV HD EQ G,NL0010619748,ROBC,1,FUND,13,True,I,EUR,,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],45.75,2021-04-09,R,0.0,issueid,583259,False,False,1.0,26
4650654,HH Obligatie Fund,NL0010514204,HHOF,1,FUND,13,True,D,EUR,,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],36.65,2021-04-09,R,0.0,issueid,61447065,False,False,1.0,40
11334341,RG WOCE E G,NL0011354865,ROCO,1,FUND,13,True,I,EUR,,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],127.36,2021-04-09,R,0.0,issueid,612924,False,False,1.0,26
846974,KEMPEN PROFIEL 3,NL0000290476,LANNE,1,FUND,13,True,D,EUR,-0.0001,200,False,['DAY'],['STANDARDAMOUNT'],['STANDARDSIZE'],[],41.34,2021-04-09,R,0.0,issueid,220162,False,False,1.0,21
