,Título,Zona,Precio,M2,Habitaciones,Baños,Terraza,Amueblado,Parking,Link,Latitud,Longitud,M2_Terraza,Duration_Miqui,Duracion_Pau,Duracion_Fede,Duracion_Joan,Duracion_Vallparc,Duracion_Pompeia
0,Alquiler piso  de 4 hab. (2 dobles grandes en Barcelona,Fort Pienc,1150.0,115.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-de_4_hab_2_dobles_grandes_fort_pienc-barcelona-i10190003880376.htm?pag=1&f=&geo=p&from=list&lo=55,41.402832412600006,2.1791970671,['3'],11.083333333333334,10.216666666666667,17.866666666666667,12.583333333333334,20.766666666666666,15.8
1,Alquiler piso en carrer de lope de vega el Poblenou / carrer de lope de vega en Barcelona,Poblenou,1390.0,115.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-el_poblenou_carrer_de_lope_de_vega_calle_de_lope_de_vega_poblenou-barcelona-i500003854748.htm?pag=704&f=&geo=p&from=list&lo=55,41.3850546,2.1733668,['10'],4.6,5.3,14.2,8.916666666666666,27.6,18.233333333333334
2,Alquiler piso indústria 338 (navas de tolosa) en Camp de l´Arpa Barcelona,Camp de l´Arpa,925.0,98.0,4.0,3.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-industria_338_navas_de_tolosa_camp_de_l_arpa-barcelona-i36054000000045.htm?pag=640&f=&geo=p&from=list&lo=55,41.416855,2.184188,['6'],16.383333333333333,13.5,21.15,15.883333333333333,19.9,21.616666666666667
3,Alquiler piso en carrer collblanc piso para entrar con muebles en Barcelona,Sant Ramon - Maternitat,950.0,90.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-para_entrar_con_muebles_calle_collblanc_108_sant_ramon_maternitat-barcelona-i586003891984.htm?pag=631&f=&geo=p&from=list&lo=55,41.3759718,2.1144618,['5'],26.116666666666667,15.783333333333333,8.033333333333333,12.0,15.083333333333334,14.966666666666667
4,Alquiler piso  en alquiler en Sants Barcelona,Sants,990.0,79.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-en_sants-barcelona-i5337001526725.htm?pag=599&f=&geo=p&from=list&lo=55,41.3796713891,2.1302642411000003,['8'],19.716666666666665,10.583333333333334,4.616666666666666,7.35,18.016666666666666,12.233333333333333
5,Alquiler piso maternitat - nou camp - en Sant Ramon - Maternitat Barcelona,Sant Ramon - Maternitat,1050.0,95.0,4.0,2.0,Si,Si,,https://www.habitaclia.com/alquiler-piso-maternitat_nou_camp_sant_ramon_maternitat-barcelona-i13477003867835.htm?pag=588&f=&geo=p&from=list&lo=55,41.3762890781,2.1250104492,['6'],18.133333333333333,12.25,6.2,10.166666666666666,19.966666666666665,12.55
6,Alquiler piso  4 hab. c. riera blanca en Sant Ramon - Maternitat Barcelona,Sant Ramon - Maternitat,900.0,95.0,4.0,2.0,Si,Si,,https://www.habitaclia.com/alquiler-piso-4_hab_c_riera_blanca_sant_ramon_maternitat-barcelona-i586004078515.htm?pag=569&f=&geo=p&from=list&lo=55,41.377964217,2.1198950901,['3'],24.266666666666666,13.933333333333334,6.183333333333334,10.15,17.35,12.983333333333333
7,Alquiler piso en carrer rossello piso silencioso alto y soleado en Barcelona,Sagrada Família,1040.0,90.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-silencioso_alto_y_soleado_calle_rossello_426_sagrada_familia-barcelona-i500004076979.htm?pag=388&f=&geo=p&from=list&lo=55,41.406518,2.1750531,['4'],11.533333333333333,8.2,15.85,10.583333333333334,16.633333333333333,17.95
8,Alquiler piso  alto ideal estudiantes 4hab en Barcelona,Les Corts,1300.0,110.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-alto_ideal_estudiantes_4hab_les_corts-barcelona-i3868004084164.htm?pag=356&f=&geo=p&from=list&lo=55,41.3871767,2.137007,['6'],16.566666666666666,7.266666666666667,3.216666666666667,4.283333333333333,20.5,11.75
9,Alquiler piso con balcón en El Clot Barcelona,El Clot,1100.0,90.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-con_balcon_el_clot-barcelona-i5847004077756.htm?pag=325&f=&geo=p&from=list&lo=55,41.410300924299996,2.1924520782,['8'],12.916666666666666,13.566666666666666,21.216666666666665,15.95,20.483333333333334,19.883333333333333
10,Alquiler piso cercano a zona universidad. 4hab en Barcelona,Sant Ramon - Maternitat,1300.0,96.0,4.0,2.0,Si,Si,,https://www.habitaclia.com/alquiler-piso-cercano_a_zona_universidad_4hab_sant_ramon_maternitat-barcelona-i3055003971249.htm?pag=279&f=&geo=p&from=list&lo=55,41.380002782199995,2.1119780259,['20'],26.75,16.416666666666668,9.65,12.633333333333333,13.866666666666667,17.916666666666668
11,"Alquiler piso en carrer muntanya para entrar a vivir, con parking en Barcelona",El Clot,1150.0,91.0,4.0,2.0,Si,Si,Plaza parking ,https://www.habitaclia.com/alquiler-piso-para_entrar_a_vivir_con_parking_calle_muntanya_19_el_clot-barcelona-i5935004068006.htm?pag=212&f=&geo=p&from=list&lo=55,41.4108206,2.1882313,['5'],12.4,13.05,20.7,15.433333333333334,21.6,18.7
12,Alquiler piso ideal para estudiantes en Putget - Farró Barcelona,Putget - Farró,1200.0,115.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-ideal_para_estudiantes_putget_farro-barcelona-i28632004068129.htm?pag=210&f=&geo=p&from=list&lo=55,41.4034985911,2.146742559,['4'],17.083333333333332,7.9,11.533333333333333,10.383333333333333,12.583333333333334,18.45
13,Alquiler piso bonic pis per entrar a viure en Sant Ramon - Maternitat Barcelona,Sant Ramon - Maternitat,1300.0,108.0,4.0,2.0,Si,Si,,https://www.habitaclia.com/alquiler-piso-bonic_pis_per_entrar_a_viure_sant_ramon_maternitat-barcelona-i33406004014299.htm?pag=209&f=&geo=p&from=list&lo=55,41.3747395744,2.1213666971,['8'],20.166666666666668,14.283333333333333,7.65,11.616666666666667,17.666666666666668,14.3
