,mun,id
0,Aiguamúrcia,430017
1,Alcover,430056
2,Alió,430108
3,Bràfim,430347
4,Cabra del Camp,430363
5,Figuerola del Camp,430593
6,"Garidells, els",430666
7,"Masó, la",430803
8,"Milà, el",430831
9,Montferri,430897
10,Mont-ral,430918
11,Nulles,430982
12,"Pla de Santa Maria, el",431080
13,"Pont d'Armentera, el",431135
14,Puigpelat,431191
15,Querol,431205
16,"Riba, la",431248
17,Rodonyà,431325
18,"Rourell, el",431346
19,Vallmoll,431606
20,Valls,431613
21,Vilabella,431652
22,Vila-rodona,431704
23,Agullana,170010
24,Albanyà,170031
25,"Far d'Empordà, el",170059
26,"Armentera, l'",170118
27,Avinyonet de Puigventós,170123
28,"Vajol, la",170144
29,Bàscara,170160
30,Borrassà,170268
31,Boadella i les Escaules,170293
32,Cabanes,170307
33,Cabanelles,170314
34,Cadaqués,170329
35,Cantallops,170412
36,Capmany,170427
37,Castelló d'Empúries,170470
38,Cistella,170519
39,Siurana,170524
40,Colera,170545
41,Darnius,170600
42,"Escala, l'",170622
43,Espolla,170643
44,Figueres,170669
45,Fortià,170741
46,Garrigàs,170754
47,Garriguella,170773
48,"Jonquera, la",170865
49,Lladó,170887
50,Llançà,170926
51,Llers,170932
52,Masarac,171002
53,Maçanet de Cabrenys,171024
54,Mollet de Peralada,171061
55,Navata,171117
56,Ordis,171156
57,Palau de Santa Eulàlia,171194
58,Palau-saverdera,171208
59,Pau,171289
60,Pedret i Marzà,171292
61,Peralada,171328
62,Pont de Molins,171352
63,Pontós,171365
64,Portbou,171387
65,"Port de la Selva, el",171404
66,Rabós,171432
67,Riumors,171518
68,Roses,171523
69,Sant Climent Sescebes,171582
70,Sant Llorenç de la Muga,171714
71,Sant Miquel de Fluvià,171753
72,Sant Mori,171766
73,Sant Pere Pescador,171788
74,Santa Llogaia d'Àlguema,171827
75,"Saus, Camallera i Llampaies",171870
76,"Selva de Mar, la",171886
77,Terrades,171962
78,Torroella de Fluvià,171984
79,Ventalló,172109
80,Vilabertran,172142
81,Viladamat,172174
82,Vilafant,172214
83,Vilaür,172229
84,Vilajuïga,172235
85,Vilamacolum,172253
86,Vilamalla,172266
87,Vilamaniscle,172272
88,Vilanant,172288
89,Vila-sacra,172305
90,Biure,172348
91,Avinyonet del Penedès,080137
92,"Cabanyes, les",080272
93,Castellet i la Gornal,080581
94,Castellví de la Marca,080654
95,Font-rubí,080850
96,Gelida,080919
97,"Granada, la",080945
98,Mediona,081228
99,Olèrdola,081458
100,Olesa de Bonesvalls,081461
101,Pacs del Penedès,081542
102,"Pla del Penedès, el",081640
103,Pontons,081688
104,Puigdàlber,081748
105,Sant Cugat Sesgarrigues,082068
106,Sant Llorenç d'Hortons,082227
107,Sant Martí Sarroca,082270
108,Sant Pere de Riudebitlles,082325
109,Sant Quintí de Mediona,082362
110,Sant Sadurní d'Anoia,082401
111,Santa Fe del Penedès,082495
112,Santa Margarida i els Monjos,082515
113,Subirats,082732
114,Torrelavit,082877
115,Torrelles de Foix,082883
116,Vilobí del Penedès,083041
117,Vilafranca del Penedès,083054
118,Alàs i Cerc,250058
119,"Pont de Bar, el",250306
120,Arsèguel,250328
121,Bassella,250447
122,Cabó,250616
123,Cava,250714
124,Coll de Nargó,250772
125,Estamariu,250886
126,Montferrer i Castellbò,251403
127,Oliana,251497
128,Organyà,251556
129,Peramola,251654
130,Ribera d'Urgellet,251850
131,"Seu d'Urgell, la",252038
132,"Valls de Valira, les",252398
133,"Valls d'Aguilar, les",259062
134,Fígols i Alinyà,259084
135,"Vansa i Fórnols, la",259097
136,Josa i Tuixén,259101
137,"Vall de Boí, la",250432
138,"Pont de Suert, el",251734
139,Vilaller,252458
140,Argençola,080082
141,Bellprat,080214
142,"Bruc, el",080253
143,Cabrera d'Anoia,080288
144,Calaf,080312
145,Calonge de Segarra,080364
146,Capellades,080446
147,Carme,080484
148,Castellfollit de Riubregós,080608
149,Castellolí,080636
150,Copons,080713
151,Igualada,081022
152,Jorba,081038
153,"Llacuna, la",081043
154,Masquefa,081192
155,Montmaneu,081332
156,Òdena,081430
157,Orpí,081521
158,Piera,081614
159,"Hostalets de Pierola, els",081629
160,"Pobla de Claramunt, la",081653
161,"Prats de Rei, els",081705
162,Pujalt,081764
163,Rubió,081859
164,Sant Pere Sallavinera,081897
165,Sant Martí de Tous,082264
166,Sant Martí Sesgueioles,082286
167,Santa Margarida de Montbui,082508
168,Santa Maria de Miralles,082573
169,"Torre de Claramunt, la",082861
170,Vallbona d'Anoia,082922
171,Veciana,082975
172,Vilanova del Camí,083020
173,Naut Aran,250254
174,Arres,250313
175,Bausen,250450
176,"Bòrdes, Es",250576
177,Bossòst,250595
178,Canejan,250637
179,Les,251214
180,Vielha e Mijaran,252430
181,Vilamòs,252477
182,Aguilar de Segarra,080023
183,Artés,080109
184,Avinyó,080121
185,Balsareny,080180
186,Callús,080386
187,Cardona,080478
188,Castellbell i el Vilar,080538
189,Castellfollit del Boix,080594
190,Castellgalí,080615
191,Castellnou de Bages,080620
192,Fonollosa,080847
193,Gaià,080902
194,Sant Salvador de Guardiola,080983
195,Manresa,081136
196,Monistrol de Montserrat,081271
197,Mura,081398
198,Navarcles,081402
199,Navàs,081419
200,Rajadell,081786
201,"Pont de Vilomara i Rocafort, el",081825
202,Sallent,081918
203,Santpedor,081923
204,Sant Feliu Sasserra,082129
205,Sant Fruitós de Bages,082135
206,Sant Joan de Vilatorrada,082188
207,Sant Mateu de Bages,082299
208,Marganell,082423
209,Sant Vicenç de Castellet,082628
210,Súria,082747
211,Talamanca,082779
212,"Albiol, l'",430038
213,"Aleixar, l'",430075
214,Alforja,430094
215,Almoster,430115
216,Arbolí,430154
217,"Argentera, l'",430173
218,"Borges del Camp, les",430311
219,Botarell,430332
220,Cambrils,430385
221,Capafonts,430398
222,Castellvell del Camp,430424
223,Colldejou,430458
224,Duesaigües,430537
225,"Febró, la",430574
226,Maspujols,430810
227,Montbrió del Camp,430884
228,Mont-roig del Camp,430923
229,Prades,431166
230,Pratdip,431188
231,Reus,431233
232,Riudecanyes,431270
233,Riudecols,431286
234,Riudoms,431299
235,"Selva del Camp, la",431457
236,Vandellòs i l'Hospitalet de l'Infant,431628
237,Vilanova d'Escornalbou,431671
238,Vilaplana,431690
239,Vinyols i els Arcs,431785
240,Aldover,430069
241,Alfara de Carles,430081
242,"Ametlla de Mar, l'",430136
243,Benifallet,430252
244,Xerta,430521
245,Paüls,431021
246,"Perelló, el",431042
247,Roquetes,431331
248,Tivenys,431495
249,Tortosa,431554
250,Deltebre,439018
251,Camarles,439039
252,"Aldea, l'",439044
253,"Ampolla, l'",439060
254,Albons,170046
255,Begur,170139
256,Bellcaire d'Empordà,170182
257,"Bisbal d'Empordà, la",170221
258,Calonge i Sant Antoni,170340
259,Castell-Platja d'Aro,170486
260,Colomers,170558
261,Corçà,170577
262,Foixà,170681
263,Fontanilles,170708
264,Garrigoles,170767
265,Gualta,170813
266,Jafre,170852
267,Mont-ras,171100
268,Palafrugell,171175
269,Palamós,171181
270,Palau-sator,171215
271,Pals,171241
272,Parlavà,171267
273,"Pera, la",171306
274,Regencós,171447
