name,ISIN,Ticker,Fund CCY,Fund size [M],TER in % p.a.,1Y in %,3Y in %,5Y in %,2020 in %,2019 in %,2018 in %,2017 in %
21Shares Bitcoin Cash ETP,CH0475552201,-,USD,7,2.50%,106.22%,-,-,47.05%,-,-,-
21Shares Bitcoin ETP,CH0454664001,-,USD,270,1.49%,616.00%,-,-,249.68%,-,-,-
21Shares Ethereum ETP,CH0454664027,-,USD,110,1.49%,974.68%,-,-,389.19%,-,-,-
Amundi BBB Euro Corporate Investment Grade UCITS ETF EUR (C),LU1681041387,CBBB,EUR,273,0.20%,11.10%,9.99%,14.36%,3.44%,9.08%,-2.53%,2.67
Amundi CAC 40 UCITS ETF DR EUR (C),LU1681046931,C40,EUR,"1,072",0.25%,41.74%,27.40%,65.88%,-5.15%,30.18%,-8.21%,12.51
Amundi DAX 50 ESG UCITS ETF DR (C),LU2240851688,DECD,EUR,4,0.19%,-,-,-,-,-,-,-
Amundi ETF Cash 3 Months EuroMTS Investment Grade UCITS ETF EUR (C),FR0010754200,C3M,EUR,268,0.14%,-0.57%,-1.89%,-3.27%,-0.60%,-0.58%,-0.72%,-0.76
Amundi ETF DAX UCITS ETF DR,FR0010655712,CG1,EUR,165,0.10%,46.32%,22.55%,53.81%,3.04%,24.89%,-18.26%,12.20
Amundi ETF Euro Inflation UCITS ETF EUR (C),FR0010754127,CI3,EUR,130,0.16%,11.10%,8.29%,12.89%,2.77%,6.50%,-1.79%,1.17
Amundi ETF FTSE EPRA NAREIT Global UCITS ETF DR,LU1437018838,EPRA,EUR,233,0.24%,22.45%,22.78%,-,-16.53%,24.20%,-1.23%,-3.16
Amundi ETF Government Bond EuroMTS Broad Investment Grade 1-3 UCITS ETF EUR (C),FR0010754135,C13,EUR,155,0.14%,0.45%,-0.52%,-1.07%,-0.10%,0.10%,-0.37%,-0.52
Amundi ETF Government Bond EuroMTS Broad Investment Grade 10-15 UCITS ETF EUR (C),FR0010754143,C10,EUR,72,0.14%,5.53%,14.25%,15.84%,6.87%,11.51%,0.67%,0.38
Amundi ETF Government Bond EuroMTS Broad Investment Grade 3-5 UCITS ETF EUR (C),FR0010754168,C33,EUR,305,0.14%,2.00%,2.20%,2.59%,1.25%,1.77%,-0.25%,-0.17
Amundi ETF Government Bond EuroMTS Broad Investment Grade 5-7 UCITS ETF EUR (C),FR0010754176,C53,EUR,173,0.14%,3.31%,5.70%,6.40%,2.79%,4.13%,-0.06%,0.28
Amundi ETF Government Bond EuroMTS Broad Investment Grade 7-10 UCITS ETF EUR (C),FR0010754184,C73,EUR,96,0.14%,4.07%,9.77%,11.75%,4.43%,6.59%,1.11%,0.96
Amundi ETF iSTOXX Europe Multi-Factor Market Neutral UCITS ETF EUR (C),FR0013284304,MKTN,EUR,53,0.55%,-2.61%,-15.78%,-,-5.85%,-4.88%,-5.15%,-
Amundi ETF MSCI EMU High Dividend UCITS ETF EUR (C),FR0010717090,CD8,EUR,127,0.30%,36.54%,21.31%,48.72%,-6.39%,23.77%,-4.00%,8.05
Amundi ETF MSCI Europe Banks UCITS ETF EUR (C),FR0010688176,CB5,EUR,34,0.25%,46.20%,-22.23%,8.83%,-28.41%,13.87%,-23.96%,12.15
Amundi ETF MSCI Europe Energy UCITS ETF EUR (C),FR0010930644,ANRJ,EUR,16,0.25%,12.94%,-16.92%,17.33%,-31.65%,9.35%,-0.17%,5.00
Amundi ETF MSCI Europe ex EMU UCITS ETF EUR (C),FR0010821819,CU9,EUR,220,0.30%,26.81%,24.47%,40.01%,-6.18%,26.24%,-8.57%,7.75
Amundi ETF MSCI Europe Healthcare UCITS ETF EUR (C),FR0010688192,CH5,EUR,36,0.25%,6.78%,37.31%,34.19%,-2.04%,31.69%,-0.84%,2.63
Amundi ETF MSCI Spain UCITS ETF EUR (C),FR0010655746,CS1,EUR,48,0.25%,25.15%,-4.99%,18.15%,-12.92%,13.96%,-12.17%,11.31
Amundi ETF MSCI UK UCITS ETF EUR (C),FR0010655761,CU1,EUR,38,0.25%,25.41%,5.13%,21.14%,-18.25%,22.74%,-10.13%,7.06
Amundi ETF MSCI USA Minimum Volatility Factor UCITS ETF DR,LU1589349734,MIVU,USD,170,0.18%,13.09%,45.69%,-,-4.18%,28.97%,5.33%,-
Amundi ETF MSCI World ex EMU UCITS ETF EUR (C),FR0010756114,CM9,EUR,270,0.35%,37.15%,55.55%,86.88%,6.72%,29.96%,-3.36%,6.45
Amundi ETF STOXX Europe 50 UCITS ETF EUR (C),FR0010790980,C5E,EUR,321,0.15%,25.10%,23.04%,44.04%,-6.23%,27.52%,-10.10%,9.11
