provincia,altitud,distancia,desnivel,pendiente,coeficiente,capital,temporadas,nubosidad,precipitaciones,lluvia,turismo
A CORUÑA,505,6,436,7,117,A CORUÑA,"La temporada templada dura 3,1 meses, del 21 de junio al 26 de septiembre, y la temperatura máxima promedio diaria es más de 22 °C. El día más caluroso del año es el 18 de agosto, con una temperatura máxima promedio de 24 °C y una temperatura mínima promedio de 16 °C.La temporada fresca dura 3,8 meses, del 21 de noviembre al 16 de marzo, y la temperatura máxima promedio diaria es menos de 16 °C. El día más frío del año es el 8 de febrero, con una temperatura mínima promedio de 7 °C y máxima promedio de 14 °C.","La parte más despejada del año en La Coruña comienza aproximadamente el 8 de junio; dura 3,2 meses y se termina aproximadamente el 14 de septiembre. El 20 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 77 % del tiempo y nublado o mayormente nublado el 23 % del tiempo.La parte más nublada del año comienza aproximadamente el 14 de septiembre; dura 8,8 meses y se termina aproximadamente el 8 de junio. El 1 de enero, el día más nublado del año, el cielo está nublado o mayormente nublado el 61 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 39 % del tiempo.","La temporada más mojada dura 7,8 meses, de 28 de septiembre a 21 de mayo, con una probabilidad de más del 27 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 44 % el 8 de enero.La temporada más seca dura 4,2 meses, del 21 de mayo al 28 de septiembre. La probabilidad mínima de un día mojado es del 9 % el 24 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 44 % el 8 de enero.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 30 de diciembre, con una acumulación total promedio de 126 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 29 de julio, con una acumulación total promedio de 19 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar La Coruña para las actividades turísticas generales a la intemperie es desde finales de junio hasta principios de septiembre, con una puntuación máxima en la última semana de julio."
ALBACETE,1402,12,782,6,174,ALBACETE,"La temporada calurosa dura 2,8 meses, del 15 de junio al 8 de septiembre, y la temperatura máxima promedio diaria es más de 29 °C. El día más caluroso del año es el 23 de julio, con una temperatura máxima promedio de 33 °C y una temperatura mínima promedio de 18 °C.La temporada fresca dura 3,8 meses, del 14 de noviembre al 8 de marzo, y la temperatura máxima promedio diaria es menos de 15 °C. El día más frío del año es el 19 de enero, con una temperatura mínima promedio de 0 °C y máxima promedio de 11 °C.","La parte más despejada del año en Albacete comienza aproximadamente el 12 de junio; dura 2,8 meses y se termina aproximadamente el 5 de septiembre. El 22 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 90 % del tiempo y nublado o mayormente nublado el 10 % del tiempo.La parte más nublada del año comienza aproximadamente el 5 de septiembre; dura 9,2 meses y se termina aproximadamente el 12 de junio. El 6 de diciembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 50 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 50 % del tiempo.","La temporada más mojada dura 9,1 meses, de 11 de septiembre a 14 de junio, con una probabilidad de más del 10 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 17 % el 30 de octubre.La temporada más seca dura 2,9 meses, del 14 de junio al 11 de septiembre. La probabilidad mínima de un día mojado es del 3 % el 23 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 17 % el 30 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 20 de octubre, con una acumulación total promedio de 34 milímetros.El periodo del año sin lluvia dura 1,7 meses, del 3 de julio al 25 de agosto. La fecha aproximada con la menor cantidad de lluvia es el 31 de julio, con una acumulación total promedio de 5 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Albacete para las actividades turísticas generales a la intemperie es desde mediados de mayo hasta principios de octubre, con una puntuación máxima en la tercera semana de junio."
ALICANTE,810,7,577,7,171,ALICANTE,"La temporada calurosa dura 3,0 meses, del 20 de junio al 21 de septiembre, y la temperatura máxima promedio diaria es más de 28 °C. El día más caluroso del año es el 11 de agosto, con una temperatura máxima promedio de 31 °C y una temperatura mínima promedio de 22 °C.La temporada fresca dura 4,0 meses, del 21 de noviembre al 22 de marzo, y la temperatura máxima promedio diaria es menos de 19 °C. El día más frío del año es el 21 de enero, con una temperatura mínima promedio de 7 °C y máxima promedio de 17 °C.","La parte más despejada del año en Alicante comienza aproximadamente el 14 de junio; dura 2,6 meses y se termina aproximadamente el 3 de septiembre. El 20 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 91 % del tiempo y nublado o mayormente nublado el 9 % del tiempo.La parte más nublada del año comienza aproximadamente el 3 de septiembre; dura 9,4 meses y se termina aproximadamente el 14 de junio. El 31 de octubre, el día más nublado del año, el cielo está nublado o mayormente nublado el 44 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 56 % del tiempo.","La temporada más mojada dura 8,6 meses, de 8 de septiembre a 27 de mayo, con una probabilidad de más del 9 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 16 % el 7 de octubre.La temporada más seca dura 3,4 meses, del 27 de mayo al 8 de septiembre. La probabilidad mínima de un día mojado es del 1 % el 3 de agosto.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 16 % el 7 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 13 de octubre, con una acumulación total promedio de 34 milímetros.El periodo del año sin lluvia dura 3,0 meses, del 31 de mayo al 30 de agosto. La fecha aproximada con la menor cantidad de lluvia es el 26 de julio, con una acumulación total promedio de 2 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, las mejores épocas del año para visitar Alicante para las actividades turísticas generales a la intemperie son desde finales de abril hasta principios de julio y desde finales de septiembre hasta finales de octubre, con una puntuación máxima en la tercera semana de junio."
ALMERÍA,1670,18,1001,4,216,ALMERÍA,"La temporada calurosa dura 2,9 meses, del 20 de junio al 17 de septiembre, y la temperatura máxima promedio diaria es más de 28 °C. El día más caluroso del año es el 29 de julio, con una temperatura máxima promedio de 30 °C y una temperatura mínima promedio de 23 °C.La temporada fresca dura 4,0 meses, del 20 de noviembre al 22 de marzo, y la temperatura máxima promedio diaria es menos de 19 °C. El día más frío del año es el 15 de enero, con una temperatura mínima promedio de 8 °C y máxima promedio de 16 °C.","La parte más despejada del año en Almería comienza aproximadamente el 11 de junio; dura 2,8 meses y se termina aproximadamente el 5 de septiembre. El 17 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 92 % del tiempo y nublado o mayormente nublado el 8 % del tiempo.La parte más nublada del año comienza aproximadamente el 5 de septiembre; dura 9,2 meses y se termina aproximadamente el 11 de junio. El 30 de octubre, el día más nublado del año, el cielo está nublado o mayormente nublado el 44 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 56 % del tiempo.","La temporada más mojada dura 7,6 meses, de 27 de septiembre a 16 de mayo, con una probabilidad de más del 6 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 13 % el 17 de noviembre.La temporada más seca dura 4,4 meses, del 16 de mayo al 27 de septiembre. La probabilidad mínima de un día mojado es del 0 % el 29 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 13 % el 17 de noviembre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 11 de noviembre, con una acumulación total promedio de 23 milímetros.El periodo del año sin lluvia dura 4,5 meses, del 6 de mayo al 21 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 1 de agosto, con una acumulación total promedio de 1 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, las mejores épocas del año para visitar Almería para las actividades turísticas generales a la intemperie son desde finales de abril hasta mediados de julio y desde finales de septiembre hasta finales de octubre, con una puntuación máxima en la tercera semana de junio."
ASTURIAS,1163,11,818,7,226,OVIEDO,"La temporada templada dura 2,9 meses, del 25 de junio al 21 de septiembre, y la temperatura máxima promedio diaria es más de 21 °C. El día más caluroso del año es el 3 de agosto, con una temperatura máxima promedio de 23 °C y una temperatura mínima promedio de 15 °C.La temporada fresca dura 4,0 meses, del 18 de noviembre al 16 de marzo, y la temperatura máxima promedio diaria es menos de 14 °C. El día más frío del año es el 7 de febrero, con una temperatura mínima promedio de 5 °C y máxima promedio de 12 °C.","La parte más despejada del año en Oviedo comienza aproximadamente el 13 de junio; dura 3,1 meses y se termina aproximadamente el 16 de septiembre. El 21 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 76 % del tiempo y nublado o mayormente nublado el 24 % del tiempo.La parte más nublada del año comienza aproximadamente el 16 de septiembre; dura 8,9 meses y se termina aproximadamente el 13 de junio. El 23 de noviembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 62 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 38 % del tiempo.","La temporada más mojada dura 8,0 meses, de 26 de septiembre a 27 de mayo, con una probabilidad de más del 24 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 38 % el 19 de noviembre.La temporada más seca dura 4,0 meses, del 27 de mayo al 26 de septiembre. La probabilidad mínima de un día mojado es del 11 % el 18 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 38 % el 19 de noviembre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 20 de noviembre, con una acumulación total promedio de 77 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 18 de julio, con una acumulación total promedio de 20 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Oviedo para las actividades turísticas generales a la intemperie es desde finales de junio hasta principios de septiembre, con una puntuación máxima en la última semana de julio."
BADAJOZ,860,5,260,4,48,BADAJOZ,"La temporada calurosa dura 3,0 meses, del 14 de junio al 13 de septiembre, y la temperatura máxima promedio diaria es más de 30 °C. El día más caluroso del año es el 29 de julio, con una temperatura máxima promedio de 35 °C y una temperatura mínima promedio de 18 °C.La temporada fresca dura 3,6 meses, del 16 de noviembre al 4 de marzo, y la temperatura máxima promedio diaria es menos de 18 °C. El día más frío del año es el 18 de enero, con una temperatura mínima promedio de 3 °C y máxima promedio de 14 °C.","La parte más despejada del año en Badajoz comienza aproximadamente el 5 de junio; dura 3,3 meses y se termina aproximadamente el 14 de septiembre. El 23 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 91 % del tiempo y nublado o mayormente nublado el 9 % del tiempo.La parte más nublada del año comienza aproximadamente el 14 de septiembre; dura 8,7 meses y se termina aproximadamente el 5 de junio. El 16 de diciembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 53 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 47 % del tiempo.","La temporada más mojada dura 8,1 meses, de 24 de septiembre a 27 de mayo, con una probabilidad de más del 14 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 26 % el 24 de octubre.La temporada más seca dura 3,9 meses, del 27 de mayo al 24 de septiembre. La probabilidad mínima de un día mojado es del 1 % el 30 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 26 % el 24 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 3 de noviembre, con una acumulación total promedio de 76 milímetros.El periodo del año sin lluvia dura 2,5 meses, del 19 de junio al 3 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 28 de julio, con una acumulación total promedio de 2 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, las mejores épocas del año para visitar Badajoz para las actividades turísticas generales a la intemperie son desde finales de abril hasta mediados de julio y desde finales de agosto hasta mediados de octubre, con una puntuación máxima en la última semana de septiembre."
BARCELONA,1116,13,802,5,163,BARCELONA,"La temporada templada dura 2,9 meses, del 22 de junio al 17 de septiembre, y la temperatura máxima promedio diaria es más de 25 °C. El día más caluroso del año es el 6 de agosto, con una temperatura máxima promedio de 28 °C y una temperatura mínima promedio de 21 °C.La temporada fresca dura 4,1 meses, del 20 de noviembre al 23 de marzo, y la temperatura máxima promedio diaria es menos de 16 °C. El día más frío del año es el 11 de enero, con una temperatura mínima promedio de 5 °C y máxima promedio de 13 °C.","La parte más despejada del año en Barcelona comienza aproximadamente el 16 de junio; dura 2,7 meses y se termina aproximadamente el 5 de septiembre. El 19 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 85 % del tiempo y nublado o mayormente nublado el 15 % del tiempo.La parte más nublada del año comienza aproximadamente el 5 de septiembre; dura 9,3 meses y se termina aproximadamente el 16 de junio. El 24 de octubre, el día más nublado del año, el cielo está nublado o mayormente nublado el 47 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 53 % del tiempo.","La temporada más mojada dura 9,3 meses, de 29 de agosto a 8 de junio, con una probabilidad de más del 15 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 22 % el 4 de octubre.La temporada más seca dura 2,6 meses, del 8 de junio al 29 de agosto. La probabilidad mínima de un día mojado es del 8 % el 14 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 22 % el 4 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 11 de octubre, con una acumulación total promedio de 62 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 10 de julio, con una acumulación total promedio de 19 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, las mejores épocas del año para visitar Barcelona para las actividades turísticas generales a la intemperie son desde finales de mayo hasta finales de julio y desde finales de agosto hasta finales de septiembre, con una puntuación máxima en la última semana de junio."
BIZKAIA,381,4,294,6,80,BILBAO,"La temporada templada dura 3,0 meses, del 22 de junio al 24 de septiembre, y la temperatura máxima promedio diaria es más de 22 °C. El día más caluroso del año es el 8 de agosto, con una temperatura máxima promedio de 24 °C y una temperatura mínima promedio de 17 °C.La temporada fresca dura 3,8 meses, del 20 de noviembre al 15 de marzo, y la temperatura máxima promedio diaria es menos de 14 °C. El día más frío del año es el 7 de febrero, con una temperatura mínima promedio de 5 °C y máxima promedio de 12 °C.","La parte más despejada del año en Bilbao comienza aproximadamente el 13 de junio; dura 3,2 meses y se termina aproximadamente el 19 de septiembre. El 24 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 77 % del tiempo y nublado o mayormente nublado el 23 % del tiempo.La parte más nublada del año comienza aproximadamente el 19 de septiembre; dura 8,8 meses y se termina aproximadamente el 13 de junio. El 16 de enero, el día más nublado del año, el cielo está nublado o mayormente nublado el 64 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 36 % del tiempo.","La temporada más mojada dura 7,7 meses, de 24 de septiembre a 16 de mayo, con una probabilidad de más del 25 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 38 % el 18 de noviembre.La temporada más seca dura 4,3 meses, del 16 de mayo al 24 de septiembre. La probabilidad mínima de un día mojado es del 12 % el 7 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 38 % el 18 de noviembre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 20 de noviembre, con una acumulación total promedio de 92 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 24 de julio, con una acumulación total promedio de 20 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Bilbao para las actividades turísticas generales a la intemperie es desde finales de junio hasta principios de septiembre, con una puntuación máxima en la tercera semana de julio."
BURGOS,880,7,347,4,65,BURGOS,"La temporada templada dura 2,7 meses, del 20 de junio al 11 de septiembre, y la temperatura máxima promedio diaria es más de 23 °C. El día más caluroso del año es el 3 de agosto, con una temperatura máxima promedio de 27 °C y una temperatura mínima promedio de 12 °C.La temporada fría dura 3,8 meses, del 14 de noviembre al 7 de marzo, y la temperatura máxima promedio diaria es menos de 11 °C. El día más frío del año es el 5 de febrero, con una temperatura mínima promedio de -1 °C y máxima promedio de 8 °C.","La parte más despejada del año en Burgos comienza aproximadamente el 8 de junio; dura 3,4 meses y se termina aproximadamente el 20 de septiembre. El 20 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 81 % del tiempo y nublado o mayormente nublado el 19 % del tiempo.La parte más nublada del año comienza aproximadamente el 20 de septiembre; dura 8,6 meses y se termina aproximadamente el 8 de junio. El 26 de noviembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 66 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 34 % del tiempo.","La temporada más mojada dura 8,6 meses, de 27 de septiembre a 15 de junio, con una probabilidad de más del 17 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 27 % el 11 de abril.La temporada más seca dura 3,4 meses, del 15 de junio al 27 de septiembre. La probabilidad mínima de un día mojado es del 7 % el 4 de agosto.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 26 % el 11 de abril.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 3 de noviembre, con una acumulación total promedio de 48 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 28 de julio, con una acumulación total promedio de 15 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Burgos para las actividades turísticas generales a la intemperie es desde finales de junio hasta principios de septiembre, con una puntuación máxima en la última semana de julio."
CANTABRIA,735,10,552,5,119,CANTABRIA,"La temporada templada dura 2,9 meses, del 20 de junio al 15 de septiembre, y la temperatura máxima promedio diaria es más de 22 °C. El día más caluroso del año es el 3 de agosto, con una temperatura máxima promedio de 26 °C y una temperatura mínima promedio de 12 °C.La temporada fresca dura 3,7 meses, del 16 de noviembre al 7 de marzo, y la temperatura máxima promedio diaria es menos de 11 °C. El día más frío del año es el 6 de febrero, con una temperatura mínima promedio de 0 °C y máxima promedio de 8 °C.","La parte más despejada del año en Cantabrana comienza aproximadamente el 13 de junio; dura 3,2 meses y se termina aproximadamente el 19 de septiembre. El 20 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 79 % del tiempo y nublado o mayormente nublado el 21 % del tiempo.La parte más nublada del año comienza aproximadamente el 19 de septiembre; dura 8,8 meses y se termina aproximadamente el 13 de junio. El 23 de noviembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 66 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 34 % del tiempo.","La temporada más mojada dura 8,4 meses, de 24 de septiembre a 5 de junio, con una probabilidad de más del 21 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 32 % el 17 de noviembre.La temporada más seca dura 3,6 meses, del 5 de junio al 24 de septiembre. La probabilidad mínima de un día mojado es del 10 % el 4 de agosto.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 31 % el 17 de noviembre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 8 de noviembre, con una acumulación total promedio de 59 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 25 de julio, con una acumulación total promedio de 18 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Cantabrana para las actividades turísticas generales a la intemperie es desde finales de junio hasta principios de septiembre, con una puntuación máxima en la última semana de julio."
