id,url,launch_library_id,slug,name,net,window_end,window_start,mission,mission_type,pad,location,landing,landing_success,launcher,orbit,image,status.id,status.name
a03444e3-c1b7-426a-b48f-4a18c60c5f28,http://spacelaunchnow.me/api/3.3.0/launch/a03444e3-c1b7-426a-b48f-4a18c60c5f28/,1461.0,https://spacelaunchnow.me/launch/ariane-5-eca-galaxy-30-mev-2-bsat-4b,"Ariane 5 ECA+ | Galaxy 30, MEV-2 & BSAT-4B",2020-08-15T21:33:00Z,2020-08-15T22:20:00Z,2020-08-15T21:33:00Z,"Galaxy 30, MEV-2 & BSAT-4B",Communications,Ariane Launch Area 3,"Kourou, French Guiana",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/ariane_5_eca25_image_20200220090552.jpeg,1,Go
24b3b696-9253-4088-92f2-c7762f4e0a4c,http://spacelaunchnow.me/api/3.3.0/launch/24b3b696-9253-4088-92f2-c7762f4e0a4c/,2088.0,https://spacelaunchnow.me/launch/falcon-9-block-5-starlink-10,Falcon 9 Block 5 | Starlink 10,2020-08-18T14:31:00Z,2020-08-18T14:31:00Z,2020-08-18T14:31:00Z,Starlink 10,Communications,Space Launch Complex 40,"Cape Canaveral, FL, USA",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/falcon25209_image_20190224025007.jpeg,1,Go
6cdf9823-7574-4c0d-a3b2-956c7b364756,http://spacelaunchnow.me/api/3.3.0/launch/6cdf9823-7574-4c0d-a3b2-956c7b364756/,1973.0,https://spacelaunchnow.me/launch/delta-iv-heavy-nrol-44,Delta IV Heavy | NROL-44,2020-08-26T05:50:00Z,2020-08-26T10:25:00Z,2020-08-26T05:50:00Z,,,Space Launch Complex 37B,"Cape Canaveral, FL, USA",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/delta2520iv2520heavy_image_20190224012313.jpeg,1,Go
120c53d4-d3a1-42fe-b2a5-a63e3b11d72b,http://spacelaunchnow.me/api/3.3.0/launch/120c53d4-d3a1-42fe-b2a5-a63e3b11d72b/,1640.0,https://spacelaunchnow.me/launch/electron-stp-27rm,Electron | STP-27RM,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,STP-27RM,Government/Top Secret,Rocket Lab Launch Complex 2,"Wallops Island, Virginia, USA",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/electron_image_20190705175640.jpeg,2,TBD
1917999c-4d64-41a7-8a7b-9202c54ca2ef,http://spacelaunchnow.me/api/3.3.0/launch/1917999c-4d64-41a7-8a7b-9202c54ca2ef/,1680.0,https://spacelaunchnow.me/launch/soyuz-21bfregat-glonass-k1,Soyuz 2.1b/Fregat | Glonass-K1,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,,,43/3 (43L),"Plesetsk Cosmodrome, Russian Federation",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/soyuz25202.1b_image_20190520165608.png,2,TBD
504ba71a-bf09-48f1-9346-48c3d79e580b,http://spacelaunchnow.me/api/3.3.0/launch/504ba71a-bf09-48f1-9346-48c3d79e580b/,,https://spacelaunchnow.me/launch/momo-flight-7,MOMO | Flight 7,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,Flight 7,Suborbital,"Taiki-cho, Hokkaido, Japan","Taiki-cho, Hokkaido, Japan",,,,Sub Orbital,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/momo_image_20190705174455.jpg,2,TBD
98a5da32-4719-495b-9713-fcb5c058f31c,http://spacelaunchnow.me/api/3.3.0/launch/98a5da32-4719-495b-9713-fcb5c058f31c/,1359.0,https://spacelaunchnow.me/launch/falcon-9-block-5-saocom-1b,Falcon 9 Block 5 | SAOCOM 1B,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,SAOCOM 1B,Communications,Space Launch Complex 40,"Cape Canaveral, FL, USA",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/falcon25209_image_20190224025007.jpeg,2,TBD
c179a24e-416b-4077-af8a-4670dfdb880a,http://spacelaunchnow.me/api/3.3.0/launch/c179a24e-416b-4077-af8a-4670dfdb880a/,1595.0,https://spacelaunchnow.me/launch/soyuz-21a-bars-m-no-3,Soyuz 2.1a | Bars-M No. 3,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,Bars-M No. 3,Government/Top Secret,43/4 (43R),"Plesetsk Cosmodrome, Russian Federation",,,,SSO,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/soyuz25202.1a_image_20190224012318.jpeg,2,TBD
38ed8ff1-0335-4e68-9dd4-925c76ad01ed,http://spacelaunchnow.me/api/3.3.0/launch/38ed8ff1-0335-4e68-9dd4-925c76ad01ed/,2038.0,https://spacelaunchnow.me/launch/astra-rocket-31-maiden-flight,Astra Rocket 3.1 | Maiden Flight,2020-08-31T02:00:00Z,2020-08-31T04:30:00Z,2020-08-31T02:00:00Z,Maiden Flight,Test Flight,Launch Pad B,"Kodiak Launch Complex, Alaska, USA",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/astra2520rocket25203.0_image_20200216210731.jpg,2,TBD
a9526278-ef96-48ba-abbd-275f1370d6c0,http://spacelaunchnow.me/api/3.3.0/launch/a9526278-ef96-48ba-abbd-275f1370d6c0/,2084.0,https://spacelaunchnow.me/launch/electron-return-to-flight-payload-unknown,Electron | Return To Flight (Payload unknown),2020-08-31T03:00:00Z,2020-08-31T07:00:00Z,2020-08-31T03:00:00Z,,,Rocket Lab Launch Complex 1A,"Onenui Station, Mahia Peninsula, New Zealand",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/electron_image_20190705175640.jpeg,2,TBD
