name,net,window_end,window_start,mission,pad,location,orbit,status.name,mission_type,description
Long March 2D | Gaofen-9-05,2020-08-23 02:25:00+00:00,2020-08-23T02:43:00Z,2020-08-23T02:19:00Z,,Launch Area 4 (SLS-2 / 603),"Jiuquan, People's Republic of China",,Go,,no information
Delta IV Heavy | NROL-44,2020-08-26 06:16:00+00:00,2020-08-26T10:25:00Z,2020-08-26T05:50:00Z,,Space Launch Complex 37B,"Cape Canaveral, FL, USA",,Go,,no information
Falcon 9 Block 5 | SAOCOM 1B,2020-08-27 23:19:00+00:00,2020-08-27T23:19:00Z,2020-08-27T23:19:00Z,SAOCOM 1B,Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,Communications,"The SAOCOM 1B spacecraft is the second of the two SAOCOM constellation satellites. It is tasked with hydrology and land observaion, and will also operate jointly with the Italian COSMO-SkyMed constellation in X-band to provide frequent information relevant for emergency management."
Electron | STP-27RM,2020-08-31 00:00:00+00:00,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,STP-27RM,Rocket Lab Launch Complex 2,"Wallops Island, Virginia, USA",,TBD,Government/Top Secret,A U.S. Air Force experimental spacecraft.
MOMO | Flight 7,2020-08-31 00:00:00+00:00,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,Flight 7,"Taiki-cho, Hokkaido, Japan","Taiki-cho, Hokkaido, Japan",Sub Orbital,TBD,Suborbital,The sixth (Flight 6 has not happened yet) flight of Interstellar Technologies MOMO rocket.
Soyuz 2.1a | Bars-M No. 3,2020-08-31 00:00:00+00:00,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,Bars-M No. 3,43/4 (43R),"Plesetsk Cosmodrome, Russian Federation",SSO,TBD,Government/Top Secret,"Bars-M is the second incarnation of the Bars project, which was started in the mid 1990ies to develop a successor for the Komtea class of area surveillance satellites. The original Bars project was halted in the early 2000s. In 2007, TsSKB-Progress was contracted for Bars-M, for which reportedly the Yantar-based service module was replaced by a new developed advanced service module.
The Bars-M satellites feature an electro-optical camera system called Karat, which is developed and built by the Leningrad Optical Mechanical Association (LOMO), and a dual laser altimeter instrument to deliver topographic imagery, stereo images, altimeter data and high-resolution images with a ground resolution around 1 meter."
Astra Rocket 3.1 | Maiden Flight,2020-08-31 02:00:00+00:00,2020-08-31T04:30:00Z,2020-08-31T02:00:00Z,Maiden Flight,Launch Pad B,"Kodiak Launch Complex, Alaska, USA",,TBD,Test Flight,This is the first orbital attempt of Astra Space small satellite launch vehicle. Rocket carries no payload for this flight.
Electron | Return To Flight (Payload unknown),2020-08-31 03:00:00+00:00,2020-08-31T07:00:00Z,2020-08-31T03:00:00Z,,Rocket Lab Launch Complex 1A,"Onenui Station, Mahia Peninsula, New Zealand",,TBD,,no information
Atlas V 531 | NROL-101,2020-09-01 00:00:00+00:00,2020-09-01T00:00:00Z,2020-09-01T00:00:00Z,NROL-101,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,Government/Top Secret,Classified payload for the U.S. National Reconnaissance Office.
Vega | SSMS POC,2020-09-01 01:51:10+00:00,2020-09-01T01:51:10Z,2020-09-01T01:51:10Z,SSMS POC,Ariane Launch Area 1,"Kourou, French Guiana",,TBD,Dedicated Rideshare,"The Vega POC (Proof Of Concept) flight will be the first mission of the SSMS (Small Spacecraft Mission Service), a modular carbon fiber dispenser, a program initiated by ESA in 2016, with the contribution of the European Commission. For all the European partners involved, its purpose is to address the burgeoning institutional and commercial small spacecraft market with a new rideshare concept.
Payload includes dozens of satellites: Athena, ION CubeSat Carrier, ESAIL, NEMO-HD, GHGSat C1, six Flock-v cubesats, several Lemur-2 cubesats, twelve SpaceBEE nanosats, FSSCat A & B, RTAF-Sat, DIDO 3, IGOSat, PICASSO, PINO, PIXL, QARMAN, SIMBA, TRISAT, Casaa-Sat, TTÃœ100, and more."
