name,description,date
Long March 2D | Gaofen-9-05,no information,2020-08-23
Delta IV Heavy | NROL-44,no information,2020-08-26
Falcon 9 Block 5 | SAOCOM 1B,"The SAOCOM 1B spacecraft is the second of the two SAOCOM constellation satellites. It is tasked with hydrology and land observaion, and will also operate jointly with the Italian COSMO-SkyMed constellation in X-band to provide frequent information relevant for emergency management.",2020-08-27
Electron | STP-27RM,A U.S. Air Force experimental spacecraft.,2020-08-31
MOMO | Flight 7,The sixth (Flight 6 has not happened yet) flight of Interstellar Technologies MOMO rocket.,2020-08-31
Soyuz 2.1a | Bars-M No. 3,"Bars-M is the second incarnation of the Bars project, which was started in the mid 1990ies to develop a successor for the Komtea class of area surveillance satellites. The original Bars project was halted in the early 2000s. In 2007, TsSKB-Progress was contracted for Bars-M, for which reportedly the Yantar-based service module was replaced by a new developed advanced service module.
The Bars-M satellites feature an electro-optical camera system called Karat, which is developed and built by the Leningrad Optical Mechanical Association (LOMO), and a dual laser altimeter instrument to deliver topographic imagery, stereo images, altimeter data and high-resolution images with a ground resolution around 1 meter.",2020-08-31
Astra Rocket 3.1 | Maiden Flight,This is the first orbital attempt of Astra Space small satellite launch vehicle. Rocket carries no payload for this flight.,2020-08-31
Electron | Return To Flight (Payload unknown),no information,2020-08-31
Atlas V 531 | NROL-101,Classified payload for the U.S. National Reconnaissance Office.,2020-09-01
Vega | SSMS POC,"The Vega POC (Proof Of Concept) flight will be the first mission of the SSMS (Small Spacecraft Mission Service), a modular carbon fiber dispenser, a program initiated by ESA in 2016, with the contribution of the European Commission. For all the European partners involved, its purpose is to address the burgeoning institutional and commercial small spacecraft market with a new rideshare concept.
Payload includes dozens of satellites: Athena, ION CubeSat Carrier, ESAIL, NEMO-HD, GHGSat C1, six Flock-v cubesats, several Lemur-2 cubesats, twelve SpaceBEE nanosats, FSSCat A & B, RTAF-Sat, DIDO 3, IGOSat, PICASSO, PINO, PIXL, QARMAN, SIMBA, TRISAT, Casaa-Sat, TTÃœ100, and more.",2020-09-01
"Soyuz 2.1b/Fregat-M | Gonets-M27, Gonets-M28, Gonets-M29",no information,2020-09-29
Falcon 9 Block 5 | Sirius SXM-7,"SXM-7 is a large high power broadcasting satellite for SiriusXM's digital audio radio service (DARS).
Space Systems/Loral (SS/L) got in July 2016 the contract to build the two satellites based on their SSL-1300 bus - SXM-7 and SXM-8. Both operate in the S-band spectrum. Each satellite will generate more than 20-kW of power and will have a large unfurlable antenna reflector, which enables broadcast to radios without the need for large dish-type antennas on the ground.
SXM-7 is meant to replace the XM-3 satellite.",2020-09-30
Long March 6  | Satellogic x 10,First batch of remote sensing satellites for Satellogic's constellation.,2020-09-30
Antares 230+ | Cygnus CRS-2 NG-14,This is the 15th planned flight of the Orbital ATK's uncrewed resupply spacecraft Cygnus and its 14th flight to the International Space Station under the Commercial Resupply Services contract with NASA.,2020-09-30
Falcon 9 Block 5 | GPS III SV04,no information,2020-10-01
Electron | StriX-α,no information,2020-10-01
Atlas V 551 | STP-3,no information,2020-10-01
Atlas V 511 | USSF-8,no information,2020-10-01
Falcon Heavy | USSF-44,no information,2020-10-01
Delta IV Heavy | NROL-82,Classified payload for the U.S. National Reconnaissance Office.,2020-10-01
Falcon 9 Block 5 | Türksat 5A,no information,2020-10-01
Soyuz 2.1b/Fregat-M | OneWeb 7,no information,2020-10-01
H-IIA | Inmarsat-6 F1,no information,2020-10-01
Atlas V N22 | CST-100 Starliner Orbital Flight Test 2 (Uncrewed),This is the second uncrewed test flight for the Starliner spacecraft. Reflight of the OFT mission will allow Boeing to demonstrate readiness of the spacecraft and implement corrections to the problems which were found during the first OFT flight.,2020-10-01
Soyuz 2.1a | Soyuz MS-17,no information,2020-10-14
Firefly Alpha | Maiden Flight,First flight of the new Firefly Alpha small sat launcher developed by Firefly Aerospace.,2020-10-15
Soyuz 2.1a/Fregat-M | CAS500-1 & rideshare,no information,2020-10-15
Soyuz STA/Fregat | Falcon Eye 2,"Falcon Eye 2 is a high-resolution Earth-imaging satellite for the United Arab Emirates. Built by Airbus Defense and Space with an optical imaging payload from Thales Alenia Space, Falcon Eye is the second of two surveillance satellites ordered by the UAEâ€™s military.",2020-10-16
Soyuz 2.1b/Fregat | Glonass-K1,no information,2020-10-17
Falcon 9 Block 5 | SpX USCV-1 (NASA Crew Flight 1),SpaceX's first operational flight of manned Dragon 2 vehicle.,2020-10-23
Falcon 9 Block 5 | Dragon CRS-2 SpX-21,no information,2020-10-30
LauncherOne | Launch Demo 2,no information,2020-11-01
Falcon 9 Block 5 | Sentinel-6 Michael Freilich,"The Sentinel-6A mission, also known as Jason Continuity of Service (Jason-CS), is a partnership between NASA, NOAA, ESA, and EUMETSAT. This mission consists of two parts: the first one continues the long-term global sea surface height data record begun by first Jason satellites in 1992. This part of the mission will provide altimeter data necessary for ocean climate monitoring, ocean modelling and numerical ocean prediction, weather forecasting, marine meteorology, coastal altimetry and modelling. A secondary objective of the mission is to collect high-resolution vertical profiles of temperature, using the Global Navigation Satellite System (GNSS) Radio-Occultation sounding technique, to assess temperature changes in the troposphere and stratosphere and to support numerical weather prediction.
Sentinel-6A is to operate in a highly-inclined circular orbit at an altitude of 1336 km, with an operational mission lasting 5 years.",2020-11-01
Soyuz 2.1b/Fregat-M | OneWeb 8,no information,2020-11-01
Angara A5/Briz-M | Dummy payload,no information,2020-11-03
Soyuz STA/Fregat | CSO 2,"The CSO 2 (Composante Spatiale Optique 2) satellite is the second of three new-generation high-resolution optical imaging satellites for the French military, replacing the Helios 2 spy satellite series.",2020-11-06
Long March 5  | Chang'e 5,"Chang'e 5 is China's robotic sample return mission, which is set to bring back at lest 2 kg of lunar soils and rock samples. The probe will perform a soft landing on the Moon, then rendezvous and dock with the return module in lunar orbit and fly back to the Earth.",2020-11-24
PSLV  | Oceansat-3,"Oceansat-3 is a part of ISRO's Oceansat program. Its main purpose is ocean observation, which includes gathering ocean color data, sea surface temperature measurements and wind vector data.",2020-12-01
PSLV-CA | RISAT-2BR2,Satellite imaging mission of ISRO using an active SAR (Synthetic Aperture Radar) imager to provide continuity of service for RISAT-2.,2020-12-01
SSLV  | Demo 2 (4 x BlackSky Global satellites),Second test flight of Indian SSLV (Small Satellite Launch Vehicle).,2020-12-01
Zhuque-2 | Maiden Flight,First flight of the new methalox rocket developed by Chinese startup LandSpace.,2020-12-01
GSLV Mk III | GSAT-20,"GSAT-20 is an Indian geostationary Ka-band high-throughput communications satellite.
GSAT 20 is reportedly built on the I-6K unified modular bus and features a Ka-band high-throughput communications payload with 70 Gbps throughput utilizing multiple spot beams providing broadband services across the Indian region.
It will be the first fully Electric Propulsion/EP enabled satellite which can be five to six times more efficient than chemical-based propulsion. It will be the first ISRO made satellite to move from Geostationary transfer orbit to Geosynchronous orbit using Electric Propulsion.",2020-12-01
Soyuz 2.1b/Fregat | Glonass-K1,no information,2020-12-01
Electron | Whitney 1,no information,2020-12-01
GSLV | IDRSS-1,no information,2020-12-01
Vega | Ingenio (SEOSat) & Taranis,"Spanish optical Earth-observation satellite. The mission is devoted to providing high resolution multispectral land optical images to different Spanish civil, institutional and government users.",2020-12-01
Falcon 9 Block 5 | Sirius SXM-8,"SXM-8 is a large high power broadcasting satellite for SiriusXM's digital audio radio service (DARS).
Space Systems/Loral (SS/L) got in July 2016 the contract to build the two satellites based on their SSL-1300 bus - SXM-7 and SXM-8. Both operate in the S-band spectrum. Each satellite will generate more than 20-kW of power and will have a large unfurlable antenna reflector, which enables broadcast to radios without the need for large dish-type antennas on the ground.
SXM-8 is meant to replace the XM-4 satellite.",2020-12-01
Soyuz 2.1b/Fregat-M | OneWeb 5,no information,2020-12-01
Falcon 9 Block 5 | Dedicated SSO Rideshare Mission 1,no information,2020-12-01
Ariane 5 ECA | Unknown & Eutelsat Quantum,no information,2020-12-01
PSLV  | RISAT-1A,no information,2020-12-01
Angara A5/Persey | Ekspress AMU,no information,2020-12-01
SSLV  | Demo 1,First test flight of Indian SSLV (Small Satellite Launch Vehicle).,2020-12-01
Falcon 9 Block 5 | Spaceflight GTO-2,no information,2020-12-01
GSLV Mk II | GSAT-7C,no information,2020-12-01
GSLV Mk II | GSAT-32,no information,2020-12-01
GSLV Mk II | GISAT-2,no information,2020-12-01
Soyuz 2.1b/Fregat-M | OneWeb 6,no information,2020-12-01
Ariane 5 ECA | Star One D2 & unknown,no information,2020-12-01
H-III 30 | ALOS-3 (Maiden flight),no information,2020-12-01
Terran 1 | Test Flight,Maiden launch of the Terran 1 rocket developed by Relativity Space.,2020-12-01
Soyuz 2.1b/Fregat-M | OneWeb 4,no information,2020-12-01
PSLV  | RISAT-2A,RISAT-2A is the third in the series of radar imaging RISAT satellites. The satellite carries a sophisticated synthetic aperture radar that operates at 5.35 GHz in C band.,2020-12-01
GSLV Mk II | GISAT-1,"GISAT-1 is an Indian earth observation satellite to be launched in geostationary orbit. It is tasked with continuous observation of Indian sub-continent and quick monitoring of natural hazards and disaster. GISAT carries an imaging payload consisting of of multi-spectral, multi-resolution from 50 m to 1.5 km. It will provide pictures of the area of interest on near real time basis including border areas.",2020-12-01
PSLV-XL | GSAT-12R,GSAT-12R is an Indian telecommunications satellite.,2020-12-01
Ariane 5 ECA | Unknown satellite for Intelsat,no information,2020-12-01
Soyuz 2.1b/Fregat-M | Arktika-M No.1,no information,2020-12-09
Soyuz 2.1a | Progress MS-16 (77P),no information,2020-12-11
Long March 2F | Shenzhou 12,no information,2021-01-01
Ariane 5 ECA | SES-17,no information,2021-01-01
Falcon 9 Block 5 | WorldView Legion 1,no information,2021-01-01
LauncherOne | VCLS ELaNa XX,NASA's signed a Venture Class Launch Services contract with Virgin Orbit to launch 13 cubesats into polar orbit.,2021-01-01
Long March 4C | Fengyun-3E,no information,2021-01-01
Falcon 9 Block 5 | O3b mPower 1-3,no information,2021-01-01
Long March 5B | Tianhe-1,"Tianhe (which translates as ""Heavenly Harmony"") is the core module and backbone of the Chinese space station, designed to provide the main living quarters and control centre for the station crew.",2021-01-01
Long March 4C | FengYun-3F,no information,2021-01-01
Falcon 9 Block 5 | O3b mPower 4-7,no information,2021-01-01
Falcon Heavy | ViaSat-3 series satellite,"The ViaSat-3 is a series of three Ka-band satellites is expected to provide vastly superior capabilities in terms of service speed and flexibility for a satellite platform. Each ViaSat-3 class satellite is expected to deliver more than 1-Terabit per second of network capacity, and to leverage high levels of flexibility to dynamically direct capacity to where customers are located.",2021-01-01
Long March ? | Fengyun-4C,no information,2021-01-01
H-IIA 202 | ALOS-4,no information,2021-01-01
Soyuz 2.1b/Fregat | Glonass-K2,no information,2021-01-01
Long March 7  | Tianzhou-2,no information,2021-01-01
Soyuz 2.1b | Resurs-P No.4,no information,2021-01-01
Long March 3B | Fengyun-4B,China's geostationary meteorological satellite program FY-4 (Feng Yun 4) is the second generation of chinese geostationary meteorological satellites.,2021-01-01
Soyuz STB/Fregat | 2 x Galileo,no information,2021-01-01
Falcon 9 Block 5 | WorldView Legion 2,no information,2021-01-01
Vega-C | LARES-2 (Maiden flight),no information,2021-01-01
Vega-C | 2 x Pléiades Neo,no information,2021-01-01
Ariane 5 ECA | Measat-3d,no information,2021-01-01
LauncherOne | Ignis & others,no information,2021-01-01
Soyuz 2.1a/Fregat-M | CAS500-2 & rideshare,no information,2021-01-01
Atlas V 551 | ViaSat-3 series satellite,no information,2021-01-01
"Soyuz 2.1b/Fregat-M | Gonets-M30, Gonets-M31, Gonets-M32",no information,2021-01-01
Falcon 9 Block 5 | GPS III SV05,no information,2021-01-01
Vega | CERES,no information,2021-01-01
Falcon 9 Block 5 | Türksat 5B,no information,2021-01-01
Angara A5/Briz-M | Unknown military payload,no information,2021-01-01
LauncherOne | STP-27VP,no information,2021-01-01
GSLV | IDRSS-2,no information,2021-01-01
Soyuz STB/Fregat | METOP-SG B1,no information,2021-01-01
Vega-C | CSG-2,"CSG-2 is an Earth observation satellite for Italian Space Agency, a part of the two-satellite constellation for reconnaissance purposes.",2021-01-01
Soyuz STB/Fregat | METOP-SG A1,no information,2021-01-01
H-IIA | XARM & SLIM,"X-Ray Astronomy Recovery Mission (XARM) is a replacement for the Hitomi satellite that malfunctioned few weeks after the launch.
Smart Lander for Investigating Moon (SLIM) is a lunar probe that will target a landing on a small crater in Mare Nectaris, an area located near the moonâ€™s equator on the side facing Earth.",2021-01-01
Falcon 9 Block 5 | NROL-87,no information,2021-01-01
Falcon 9 Block 5 | NROL-85,no information,2021-01-01
Antares 230+ | Cygnus CRS-2 NG-15,no information,2021-02-01
PSLV  | Amazonia 1,no information,2021-02-01
Falcon Heavy | USSF-52,no information,2021-03-01
Atlas V 421 | SBIRS GEO-5,no information,2021-03-01
Electron | RASR-3,no information,2021-03-01
Electron | RASR-4,no information,2021-03-01
OmegA | 2 x NationSat & others,This is the maiden flight of the OmegA rocket developed by Northrop Grumman. This launch also carries small geostationary satellites called NationSat for Saturn Satellite Networks.,2021-03-01
Falcon 9 Block 5 | Dragon CRS-2 SpX-22,no information,2021-03-12
Falcon 9 Block 5 | SpX USCV-2 (NASA Crew Flight 2),"SpaceX Crew-2 will be the second crewed operational flight of a Crew Dragon spacecraft, and the third overall crewed orbital flight. It will use the same Falcon 9 first stage as the Crew-1 mission and the same Crew Dragon capsule as the Demo-2 mission (Endeavour).",2021-03-30
Falcon 9 Block 5 | X-Ray Polarimetry Explorer (IXPE),no information,2021-04-01
Minotaur I | NROL-111,Classified payload for the U.S. National Reconnaissance Office.,2021-04-01
Atlas V N22 | CST-100 Starliner Crewed Flight Test,"This is the first crewed test flight of Starliner spacecraft. It will carry NASA astronauts Christopher Ferguson, Michael Fincke and Nicole Mann to the International Space Station.",2021-04-01
Falcon 9 Block 5 | GPS III SV06,no information,2021-04-01
Atlas V 401 | Landsat 9,"Landsat 9 is a partnership between NASA and the U.S. Geological Survey to continue the Landsat programâ€™s critical role in monitoring, understanding and managing the land resources needed to sustain human life. Landsat 9, like Landsat 8, will have a higher imaging capacity than past Landsats, allowing more valuable data to be added to the Landsatâ€™s global land archive. Satellite will operaite in sun-synchronous orbit at an altitude of 705 km and has a mission lifetime of 5 years.",2021-04-08
Proton-M | MLM Nauka,"Nauka (which means ""Science"" in Russian), also known as Multipurpose Laboratory Module (MLM), is a new module of the russian segment of the ISS.",2021-05-01
