	CODI_VIA	TIPUS_VIA	NOM_OFICIAL	NOM_CURT	DESCRIPCION	FECHA_APROBACION	NOMBRES_ANTERIORES	DISTRICTOS
0	102	C	Carrer dels Llebrencs	Llebrencs	Nombre popular que se da a los nacidos en Vallvidrera, por la forma de caminar que se parece a la de las liebres.	29/06/1987 ( )	Lletra A (Vallvidrera)	SARRIÀ-SANT GERVASI (05)
1	180	C	Carrer A Zona Franca	A Zona Franca	Esta calle es una de las más importantes de la zona. La Comisión de Urbanismo aprobó el Plan parcial de ordenación del polígono industrial del Consorcio de la Zona Franca de Barcelona, en el que, con alguna excepción, las calles designadas con letras siguen la dirección norte-sur y las designadas con números la dirección este-oeste.	16/02/1968 ( )		SANTS-MONTJUÏC (03)
2	204	C	Carrer de Guerau de Liost	Guerau de Liost	Seudónimo literario con el que se conoce al poeta catalán Jaume Bofill i Mates (Olot, La Garrotxa 1878 - Barcelona 1933). Poeta, político y periodista.	29/07/1987 ( )	Ptge. lletra A (Vallvidrera)	SARRIÀ-SANT GERVASI (05)
3	306	C	Carrer de l'Abat Odó	Abat Odó	Abad del monasterio de Sant Cugat del Vallès desde el año 986 hasta el 1010. Obispo de Girona. La incursión de Al-Mansur (año 985) fue la causa de la muerte del abad Joan y de doce monjes, algunos refugiados en Barcelona y otros en el cenobio, que fue destruido y el archivo quemado. Transcurrido el peligro, el abad Odó rehizo el monasterio y el patrimonio y obtuvo una confirmación global de sus bienes del rey franco Lotari (986) y del papa Silvestre II (1002). Hay constancia de que en el año 995 era obispo de Girona. Murió en el año 1010 en la batalla de Guadeira, durante la expedición catalana a Córdoba.		Otto, 1939; Abat Odó, 1934; Otto, 1907; Santa Eugènia, abans de 1900	SANT ANDREU (09)
4	408	C	Carrer de l'Abat Samsó	Abat Samsó	Según unas fuentes, Bernat Samsó (siglo XV) intervino en la capitulación de Barcelona en la guerra civil contra Juan II (1472). Es más probable que se trate de fray Miquel Samsó, abad de San Salvador de Breda, diputado de la Generalitat en 1470.	07/03/1939 ( )	Bernat Cavaller, 1931; Abat Samsó, 1927; Bernat Cavaller, 1922; Santa Teresa, abans de 1888	SARRIÀ-SANT GERVASI (05)
5	500	C	Carrer de l'Abat Safont	Abat Safont	Joan de Safont i de Ferrer (Besalú, La Garrotxa 1789 - Barcelona 1847). Benedictino. Abad de San Pablo del Camp. Historiador y filósofo. Catedrático de Filosofía en el Colegio de San Pablo del Camp hasta la exclaustración de 1835. Exclaustrado, fue profesor y vulgarizador de las ciencias físicas. Organizó un notable museo y una biblioteca.		Abad Zafont	CIUTAT VELLA (01)
6	601	C	Carrer de l'Abadessa Olzet	Abadessa Olzet	Sor soberana de Olzet. Primera abadesa del monasterio de Pedralbes. Elegida el 3 de mayo de 1327, murió el 25 de abril de 1336. Catorce monjas damianistas llegaron del convento de San Antonio, situado cerca de la puerta de San Daniel en la antigua muralla de la ciudad de Barcelona, y se establecieron en el nuevo monasterio.	25/09/1931 ( )	Abadessa d'Olzet, de 1929 a 1931; Sor Sobirana d'Olzet, 1922; Monjas, abans de 1888	LES CORTS (04)
7	703	C	Carrer dels Abaixadors	Abaixadors	En esta calle se establecieron y tuvieron la casa gremial los tundidores, después de haberse separado de la cofradía de los tejedores de lana, creada por un privilegio concedido por Pedro IV en Barcelona el 8 de marzo de 1386. Las primeras ordenanzas del gremio datan de 1456.		Dufort; Forn d'en Dufort, abans del segle XIV	CIUTAT VELLA (01)
8	805	C	Carrer d'Abd el-Kader	Abd el-Kader	Abd el-Kader (Guetna, Mascara, Argelia 1808 - Damasco 1883). Emir de Argelia. Emprendió la guerra santa contra Francia (1832-1847). En 1837 consiguió que los franceses le reconocieran Orán y una parte de la provincia de Alger. En 1843 los franceses ocuparon toda Argelia y tuvo que refugiarse en Marruecos. Vencido en la batalla de Isly (1844). Tres años después se entregó a los franceses. Encarcelado hasta 1852, una vez liberado se trasladó a Bursa y después a Damasco (1855), donde vivió de una pensión que le pasaba el Estado francés.	15/11/1950 ( )	Abdelcader	HORTA-GUINARDÓ (07)
9	907	C	Carrer d'Abdó Terradas	Abdó Terradas	"Abdó Terradas i Pulí (Figueres, Alt Empordà 1812 - Medina Sidonia, Andalucía 1856). Escritor y político republicano. Pasó a residir en Barcelona en 1840. Fundó la Sociedad Patriótica y empezó a difundir un ideario republicano a través de una hoja pronto transformada en el <i>republicano</i>. Alcalde de Figueres en 1842; por haberse negado a jurar lealtad a la regencia del duque de la Victoria fue encarcelado. Exiliado en Perpiñán envió un famoso ""Plan de la revolución"". Volvió a Figueres. Desterrado en Sigüenza (1844) volvió al exilio. Desde París lanzó el 1 de julio de 1848 un llamamiento a los republicanos. Después de la Revolución de 1854, fue elegido de nuevo alcalde de Figueres hasta que el capitán general Zapatero destituyó al Ayuntamiento. Enfermo, residió normalmente en Cádiz. Anselm Clavé le dedicó la obra coral <i>La Revolución</i> (1868)."	21/06/1922 ( )	Dante, 05/09/1907; Del Pino, abans de 1864	GRÀCIA (06)
10	1003	C	Carrer d'Abella	Abella	Debe su nombre a Abella, pueblo del municipio de Vilallonga de Ter (Ripollès). Todos los nombres aprobados por el acuerdo corresponden a pueblos de Cataluña.	29/05/1945 ( )	Núm. 40	NOU BARRIS (08)
11	1105	C	Carrer de Manuel Ballbé	Manuel Ballbé	Manuel Ballbé i Prunés (Barcelona 1920 - 1961) Abogado y jurista. Catedrático de Derecho Administrativo de las universidades de Murcia (1945) y de Zaragoza (1953). Catedrático de Derecho Administrativo y Ciencias Económicas de la Universidad de Barcelona. Estuvo vinculado con muchas instituciones de Cataluña y con la Fundación March.	26/03/1982 ( )	Advocat Ballbé, 12/06/1980; Abogado Ballbé, 08/05/1962	LES CORTS (04)
12	1309	C	Carrer de les Acàcies	Acàcies	"Poco después de abrirse la calle, al principio de siglo, se plantaron acacias. La gente la denominaba ""la calle de las acacias"", nombre que se hizo oficial."		Acacias	SANT ANDREU (09)
13	1400	Pl	Plaça de l'Acadèmia	Pl Acadèmia	Nombre proveniente de la Academia de Matemáticas destinada especialmente a la formación de ingenieros militares, sancionada en 1739. Estaba instalada en el edificio de la portería del antiguo convento de San Agustín, que fue derribado casi totalmente entre 1714 y 1718 para formar los glacis de la Ciudadela.	 ( )		CIUTAT VELLA (01)
14	1502	C	Carrer de la Sèquia	Sèquia	Nombre dado a la calle porque por allí discurre el tramo de la acequia Comtal que conducía a las balsas de Sant Pere, primer caudal de agua que se portó del Besòs a la ciudad antes de la época condal.		Acéquia	CIUTAT VELLA (01)
15	1604	C	Carrer de la Sèquia Comtal	Sèquia Comtal	Tiene parcialmente el antiguo trazado de la acequia Comtal que conducía las aguas de Montcada a Barcelona, que empezaron a utilizarse en el siglo XI.		Acequia Condal; Acequia	NOU BARRIS (08) SANT ANDREU (09) SANT MARTÍ (10)
16	1706	C	Carrer de la Sèquia Madriguera	Sèquia Madriguera	Debe su nombre a la acequia Madriguera que pasaba por aquel lugar.		Acequia Madriguera	SANT ANDREU (09)
17	1808	C	Carrer de l'Acer	Acer	Debe su nombre al acero, el metal. La Comisión de Urbanismo de Barcelona aprobó el Plan parcial del sector Gran Via sur, fundamentalmente con suelo de uso industrial. Una serie de calles se dedicarían a materiales afines con temas industriales como el acero, el bronce, el hierro, el plomo, etc.	25/06/1958 ( )	Acero	SANTS-MONTJUÏC (03)
18	1900	C	Carrer de l'Actor Morano	Actor Morano	Francisco Morano Moreno (Madrid 1876 - Barcelona 1933). Actor teatral. Morano había trabajado con la compañía de Maria Tubau y actuó en Barcelona en el teatro Principal (1893-1894). En 1903 formó compañía por su cuenta. Gran empresario y director teatral realizó campañas en las principales capitales del Estado, así como en las de Argentina.	07/07/1942 ( )	Lletra B de Can Ramis; Capitán Ferrandiz, 1933; Lletra B de Casa Ramis, 1939	SARRIÀ-SANT GERVASI (05)
19	2006	C	Carrer de l'Actriu Tubau	Actriu Tubau	María Álvarez Tubau (Madrid 1854 - 1914). Fue profesora del Conservatorio de Madrid. Esta actriz dramática castellana consiguió sus mejores representaciones en las obras de Echegaray, Marquina y Dumas (hijo). El año en el que se retiró, en 1904, fue designada maestra del arte dramático. Los vecinos pidieron para la calle el nombre de Maria Tubau.	07/07/1942 ( )	Lletra G de Casa Ramis, abans de 1933; Capitán Bellés, 1933; Lletra G de Casa Ramis, 1939	SARRIÀ-SANT GERVASI (05)
20	2050	C	Carrer d'Adolf Florensa	Adolf Florensa	Adolf Florensa i Ferrer (Lleida, Segrià 1889 - Barcelona 1968). Arquitecto catedrático en la Escuela de Arquitectura de Barcelona. Arquitecto municipal.	28/07/1982 ( )		LES CORTS (04)
21	2200	C	Carrer d'Adrall	Adrall	Debe su nombre a Adrall, pueblo del municipio de la parroquia de Hortó (Alt Urgell).	29/05/1945 ( )	Núm. 40	SANT ANDREU (09)
22	2210	Av	Avinguda d'Adrià Gual	Av Adrià Gual	Adrià Gual i Queralt (Barcelona 1872 - 1943). Autor dramático, director de escena, pintor y pedagogo. Fundó el Teatro Íntimo. Fue director de la Escuela Catalana de Arte Dramático. Director artístico de la productora Barcinógrafo (1913). Documento importante fueron sus memorias, editadas póstumamente: <i>Media vida de teatro</i> (1960). Como plástico, se centró en un estilo modernista típicamente esteticista. Finalmente dedicó su esfuerzo a la escenografía de obras montadas por él.	05/07/1960 ( )	Decorador Adrià Gual, 1949	GRÀCIA (06)
23	2403	C	Carrer d'Adrià Margarit	Adrià Margarit	Adrià Margarit i Coll (1851 - 1908). Notario. Cofundador, con el doctor Andreu, de la Sociedad Urbanizadora del Tibidabo.	20/07/1943 ( )	Adrián Margarit; Núm. 7 (urb. S.A. El Tibidabo)	SARRIÀ-SANT GERVASI (05)
24	2505	Pl	Plaça d'Adrià	Pl Adrià	Publio Elio Adriano (Itálica, Bética 76 - Baiae, Campania 138). Emperador romano. Filósofo, hombre de acción, destacó como constructor. Mandó levantar cuatro ciudades y construyó importantes edificios por todo el imperio, entre otros, la Villa de Tívoli, el Panteón -con su cúpula de más de 40 metros de diámetro- y el mausoleo de Adriano, denominado castillo de Sant Angelo a partir del siglo VII.	05/11/1913 ( )	Adriano	SARRIÀ-SANT GERVASI (05)
25	2607	C	Carrer de la Duana	Duana	La administración encargada de percibir los derechos de entrada y salida de mercancías de un estado. La calle corresponde a la fachada posterior de la nueva aduana (actual Gobierno Civil) construida en 1790-1792 por orden del ministro de Hacienda, conde de Roncalli.	 ( )	Aduana	CIUTAT VELLA (01)
26	2709	C	Carrer dels Afores	Afores	En las afueras de la antigua villa de Sant Andreu de Palomar. Puede entenderse que se le dio el nombre cuando se encontraba alejada del núcleo principal de la población.	 (Antes del siglo XIX)	Afueras	SANT ANDREU (09)
27	2902	C	Carrer de n'Aglà	Aglà	Posible mote de un personaje que vivió en la calle, en la edad media, dado que no existe como apellido en las fuentes genealógicas consultadas. Posible nombre de familia.	 (Antes de 1865)		CIUTAT VELLA (01)
28	3009	C	Carrer d'Agramunt	Agramunt	Debe su nombre a Agramunt, municipio del Urgell.	05/09/1907 ( )	La Glòria, 31/03/1875	SARRIÀ-SANT GERVASI (05) GRÀCIA (06)
29	3100	C	Carrer de l'Agregació	Agregació	En conmemoración de la agregación a Barcelona de los pueblos del llano en el año 1897: Sant Andreu, Sants, Les Corts de Sarrià, Sant Martí de Provençals, Sant Gervasi y Gràcia.	20/04/1897 ( )	Agregación	HORTA-GUINARDÓ (07)
30	3202	C	Carrer d'Anna M. Martínez Sagi	Anna Martínez Sagi		22/04/2009 ( )	Ptge. de l'Agregació, abans de 1900	HORTA-GUINARDÓ (07)
31	3406	C	Carrer de l'Agricultura	Agricultura	Nombre dedicado al arte de cultivar la tierra. Simultáneamente (hacia el año 1880) otras calles de Sant Martí recibieron el nombre de actividades económicas (trabajo, comercio, etc.).	25/04/1945 ( )	Núm. 60 (Pla Cerdà)	SANT MARTÍ (10)
