,juego,reseña
0,7 Wonders,https://misutmeeple.com/2013/02/resena-7-wonders/
1,7 Wonders Duel,https://misutmeeple.com/2015/12/resena-7-wonders-duel/
2,7 Wonders Duel: Pantheon,https://misutmeeple.com/2018/06/resena-7-wonders-duel-pantheon/
3,10' to Kill,https://misutmeeple.com/2017/09/resena-10-to-kill/
4,13 Días: La Crisis de los Misiles de Cuba,https://misutmeeple.com/2019/06/resena-13-dias-la-crisis-de-los-misiles-de-cuba/
5,51st State: Master Set,https://misutmeeple.com/2019/07/resena-51st-state-master-set/
6,1906 San Francisco,https://misutmeeple.com/2018/11/resena-1906-san-francisco/
7,1911 Amundsen Vs. Scott,https://misutmeeple.com/2013/11/resena-1911-amundsen-vs-scott/
8,1987 Channel Tunnel,https://misutmeeple.com/2019/12/resena-1987-channel-tunnel/
9,MegaCity: Oceania,https://misutmeeple.com/2021/04/resena-megacity-oceania/
10,A Few Acres of Snow,https://misutmeeple.com/2017/09/resena-a-few-acres-of-snow/
11,A las Puertas de Loyang,https://misutmeeple.com/2015/06/resena-at-the-gates-of-loyang/
12,A Study in Emerald (1ª Ed.),https://misutmeeple.com/2018/06/resena-a-study-in-emerald-1a-ed/
13,¡A Todo Tren!,https://misutmeeple.com/2018/09/resena-a-todo-tren/
14,A Través del Desierto,https://misutmeeple.com/2016/06/resena-a-traves-del-desierto/
15,Abalone,https://misutmeeple.com/2019/06/resena-abalone/
16,Abluxxen,https://misutmeeple.com/2015/04/resena-abluxxen/
17,Abominación: El Heredero de Frankenstein,https://misutmeeple.com/2020/07/resena-abominacion-el-heredero-de-frankenstein/
18,Agamemnon,https://misutmeeple.com/2017/11/resena-agamemnon/
19,Age of Empires III: La Era de los Descubrimientos,https://misutmeeple.com/2016/01/resena-age-of-empires-iii-la-era-de-los-descubrimientos/
20,Age of Industry,https://misutmeeple.com/2017/02/resena-age-of-industry/
21,Age of War,https://misutmeeple.com/2015/02/resena-age-of-war/
22,Agra,https://misutmeeple.com/2018/01/resena-agra/
23,Agricola,https://misutmeeple.com/2013/02/resena-agricola/
24,Agricola: Bosques y Cenagales,https://misutmeeple.com/2013/06/resena-agricola-bosques-y-cenagales/
25,Agricola: Animales en la Granja,https://misutmeeple.com/2021/09/resena-agricola-animales-en-la-granja/
26,"Aire, Tierra y Mar",https://misutmeeple.com/2021/03/resena-aire-tierra-y-mar/
27,Airlines Europe,https://misutmeeple.com/2014/06/resena-airlines-europe/
28,Airship City,https://misutmeeple.com/2019/10/resena-airship-city/
29,Ajo y Agua,https://misutmeeple.com/2014/04/resena-ajo-y-agua/
30,Akrotiri,https://misutmeeple.com/2016/07/resena-akrotiri/
31,Alchemists,https://misutmeeple.com/2014/11/resena-alchemists/
32,Alhambra,https://misutmeeple.com/2016/12/resena-alhambra/
33,Alien Froniers,https://misutmeeple.com/2020/09/resena-alien-frontiers/
34,Alma Mater,https://misutmeeple.com/2020/11/resena-alma-mater/
35,Aloha Pioha,https://misutmeeple.com/2016/05/resena-aloha-pioha/
36,Alta Tensión,https://misutmeeple.com/2013/03/resena-alta-tension/
37,Altiplano,https://misutmeeple.com/2018/01/resena-altiplano/
38,Altiplano: El Viajero,https://misutmeeple.com/2018/10/resena-altiplano-el-viajero/
39,Alubari: el Aroma del Té,https://misutmeeple.com/2020/02/resena-alubari-el-aroma-del-te/
40,Amanecer Rojo,https://misutmeeple.com/2021/08/resena-amanecer-rojo/
41,Amerigo,https://misutmeeple.com/2016/03/resena-amerigo/
42,Anachrony,https://misutmeeple.com/2018/10/resena-anachrony/
43,Android: Mainframe,https://misutmeeple.com/2017/06/android-mainframe/
44,"Animal sobre Animal, ¡A dar vueltas!",https://misutmeeple.com/2015/02/resena-animal-sobre-animal-dar-vueltas/
45,Antiquity,https://misutmeeple.com/2018/06/resena-antiquity/
46,Aqualin,https://misutmeeple.com/2020/09/resena-aqualin/
47,AquaSphere,https://misutmeeple.com/2015/12/resena-aquasphere/
48,Arboretum,https://misutmeeple.com/2016/05/resena-arboretum/
49,Arcanya: Magic Academy,https://misutmeeple.com/2015/11/resena-arcanya-magic-academy/
50,Archipelago,https://misutmeeple.com/2021/05/resena-archipelago/
51,Argent: The Consortium,https://misutmeeple.com/2020/02/resena-argent-the-consortium/
52,Aristeia!,https://misutmeeple.com/2017/11/resena-aristeia/
53,Arquitectos del Reino del Oeste,https://misutmeeple.com/2019/06/resena-arquitectos-del-reino-del-oeste/
54,Arquitectos del Reino del Oeste - Era de los Artesanos,https://misutmeeple.com/2021/02/resena-arquitectos-del-reino-del-oeste-era-de-los-artesanos/
55,Arraial,https://misutmeeple.com/2021/07/resena-arraial/
56,Asante,https://misutmeeple.com/2016/11/resena-asante/
57,Asara,https://misutmeeple.com/2013/01/resena-asara/
58,Aton,https://misutmeeple.com/2018/01/resena-aton/
59,Augustus,https://misutmeeple.com/2017/05/resena-augustus/
60,Automania,https://misutmeeple.com/2016/02/resena-automania/
61,Automobile,https://misutmeeple.com/2017/07/resena-automobile/
62,AuZtralia,https://misutmeeple.com/2018/03/resena-auztralia/
63,Aviador Loco,https://misutmeeple.com/2016/05/resena-aviador-loco/
64,Aztec,https://misutmeeple.com/2021/10/resena-aztec/
65,Azul,https://misutmeeple.com/2017/12/resena-azul/
66,Azul: Pabellón de Verano,https://misutmeeple.com/2020/03/resena-azul-pabellon-de-verano/
67,Azul: Vitrales de Sintra,https://misutmeeple.com/2020/03/resena-azul-vitrales-de-sintra/
68,Babel,https://misutmeeple.com/2017/05/resena-babel/
69,Babylonia,https://misutmeeple.com/2019/11/resena-babylonia/
70,Bali,https://misutmeeple.com/2018/07/resena-bali/
71,Bang!,https://misutmeeple.com/2013/05/resena-bang/
72,Banjooli Xeet,https://misutmeeple.com/2013/10/resena-banjooli-xeet/
73,Baobab,https://misutmeeple.com/2017/11/resena-baobab/
74,Barrage,https://misutmeeple.com/2019/09/resena-barrage/
75,Barragoon,https://misutmeeple.com/2016/08/resena-barragoon/
76,Basari: El Juego de Cartas,https://misutmeeple.com/2016/10/resena-basari-el-juego-de-cartas/
77,Batalla de Ovejas,https://misutmeeple.com/2015/07/resena-batalla-de-ovejas/
78,Batalla por el Olimpo,https://misutmeeple.com/2016/09/resena-batalla-por-el-olimpo/
79,Beez,https://misutmeeple.com/2021/01/resena-beez/
80,Belfort,https://misutmeeple.com/2017/01/resena-belfort/
81,Bellz!,https://misutmeeple.com/2017/12/resena-bellz/
82,Between Two Cities,https://misutmeeple.com/2017/07/resena-between-two-cities/
83,Beyond the Sun,https://misutmeeple.com/2021/01/resena-beyond-the-sun/
84,Billabong,https://misutmeeple.com/2019/10/resena-billabong/
85,Biosphere,https://misutmeeple.com/2018/07/resena-biosphere/
86,Bitcoin Hackers,https://misutmeeple.com/2018/12/resena-bitcoin-hackers/
87,Bitoku,https://misutmeeple.com/2021/11/resena-bitoku/
88,Black Angel,https://misutmeeple.com/2020/06/resena-black-angel/
89,Blackout: Hong Kong,https://misutmeeple.com/2018/11/resena-blackout-hong-kong/
90,Blitz!,https://misutmeeple.com/2015/11/resena-blitz/
91,Blitzkrieg!,https://misutmeeple.com/2019/12/resena-blitzkrieg/
92,Blood Rage,https://misutmeeple.com/2016/01/resena-blood-rage/
93,Bloom Town,https://misutmeeple.com/2020/06/resena-bloom-town/
94,Blue Lagoon,https://misutmeeple.com/2019/05/resena-blue-lagoon/
95,Blueprints,https://misutmeeple.com/2016/01/resena-blueprints/
96,Bohnanza de las Galaxias,https://misutmeeple.com/2013/06/resena-bohnanza-de-las-galaxias/
97,Bonfire,https://misutmeeple.com/2020/10/resena-bonfire/
98,Boomerang: Australia,https://misutmeeple.com/2021/04/resena-boomerang-australia/
99,Bora Bora,https://misutmeeple.com/2013/08/resena-bora-bora/
100,Bosk,https://misutmeeple.com/2020/05/resena-bosk/
101,Bounce Battle,https://misutmeeple.com/2021/08/resena-bounce-battle/
102,Brains Family: Castillos & Dragones,https://misutmeeple.com/2019/07/resena-brains-castillos-y-dragones/
103,Brass: Birmingham,https://misutmeeple.com/2019/09/resena-brass-birmingham/
104,Brass: Lancashire,https://misutmeeple.com/2015/09/resena-brass/
105,Break the Code,https://misutmeeple.com/2020/12/resena-break-the-code/
106,Broom Service,https://misutmeeple.com/2016/01/resena-broom-service/
107,Bruges,https://misutmeeple.com/2014/12/resena-bruges/
108,Bruxelles 1893,https://misutmeeple.com/2017/10/resena-bruxelles-1893/
109,Bubblee Pop,https://misutmeeple.com/2017/09/resena-bubblee-pop/
110,Bunny Kingdom,https://misutmeeple.com/2018/06/resena-bunny-kingdom/
111,Bunny Kingdom: Celestial,https://misutmeeple.com/2019/11/resena-bunny-kingdom-celestial/
112,Burano,https://misutmeeple.com/2019/05/resena-burano/
113,Bus,https://misutmeeple.com/2020/08/resena-bus/
114,Cable Car,https://misutmeeple.com/2017/03/resena-cable-car/
115,Cacao,https://misutmeeple.com/2015/05/resena-cacao/
116,Cacao: Diamante,https://misutmeeple.com/2018/09/resena-cacao-diamantes/
117,Cacao: Xocolatl,https://misutmeeple.com/2018/04/resena-cacao-xocolatl/
118,Café,https://misutmeeple.com/2021/03/resena-cafe/
119,Cairn,https://misutmeeple.com/2020/10/resena-cairn/
120,Calaveras de Sedlec,https://misutmeeple.com/2021/10/resena-calaveras-de-sedlec/
121,Calico,https://misutmeeple.com/2021/02/resena-calico/
122,Calimala,https://misutmeeple.com/2018/08/resena-calimala/
123,Camel Up,https://misutmeeple.com/2014/12/resena-camel-up/
124,Campeones: Oliver y Benji (El Campeonato Infantil),https://misutmeeple.com/2014/06/resena-campeones-oliver-y-benji/
125,Campos de Arle,https://misutmeeple.com/2016/02/resena-fields-of-arle/
126,Can't Stop,https://misutmeeple.com/2016/04/resena-cant-stop/
127,Candy Chaser,https://misutmeeple.com/2016/08/resena-candy-chaser/
128,Candy Match,https://misutmeeple.com/2018/11/resena-candy-match/
129,Capcom Street Fighter Deck-Building Game,https://misutmeeple.com/2015/08/resena-capcom-street-fighter-deck-building-game/
130,Caravana al Oeste,https://misutmeeple.com/2018/12/resena-caravana-al-oeste/
131,Carcassonne,https://misutmeeple.com/2015/10/resena-carcassonne/
132,Cardline: Marvel,https://misutmeeple.com/2016/06/resena-cardline-marvel/
133,Carnaval de Monstruos,https://misutmeeple.com/2019/11/resena-carnaval-de-monstruos/
134,Carolus Magnus,https://misutmeeple.com/2020/07/resena-carolus-magnus/
135,Carpe Diem,https://misutmeeple.com/2018/10/resena-carpe-diem/
136,Carson City,https://misutmeeple.com/2015/04/resena-carson-city/
137,Castles of Mad King Ludwig,https://misutmeeple.com/2015/10/resena-castles-of-mad-king-luwdig/
138,Cat Lady,https://misutmeeple.com/2020/11/resena-cat-lady/
139,Caverna,https://misutmeeple.com/2015/11/resena-caverna/
140,Caylus,https://misutmeeple.com/2014/04/resena-caylus/
141,Caylus 1303,https://misutmeeple.com/2020/09/resena-caylus-1303/
142,Cena en París,https://misutmeeple.com/2021/06/resena-cena-en-paris/
143,Century: La Ruta de las Especias,https://misutmeeple.com/2017/08/resena-century-la-ruta-de-las-especias/
144,Century: Maravillas de Oriente,https://misutmeeple.com/2018/11/resena-century-maravillas-de-oriente/
145,Century: Un Nuevo Mundo,https://misutmeeple.com/2019/12/resena-century-un-nuevo-mundo/
146,Ceylon,https://misutmeeple.com/2018/12/resena-ceylon/
147,Charterstone,https://misutmeeple.com/2018/01/resena-charterstone/
148,Cheeky Monkey,https://misutmeeple.com/2018/04/resena-cheeky-monkey/
149,Chicago Express,https://misutmeeple.com/2015/04/resena-chicago-express/
150,Chimera,https://misutmeeple.com/2018/10/resena-chimera/
151,Chinatown,https://misutmeeple.com/2017/04/resena-chinatown/
152,Circadians: Primera Luz,https://misutmeeple.com/2020/01/resena-circadians-primera-luz/
153,Citrus,https://misutmeeple.com/2017/10/resena-citrus/
154,Ciudad Machi Koro,https://misutmeeple.com/2014/11/resena-ciudad-machi-koro/
155,Ciudadelas,https://misutmeeple.com/2013/01/resena-ciudadelas-3-ed/
156,Claim,https://misutmeeple.com/2019/07/resena-claim/
157,Claim 2,https://misutmeeple.com/2020/03/resena-claim-2/
158,"Claim, Refuerzos - Fuego",https://misutmeeple.com/2021/10/resena-claim-refuerzos-fuego/
159,Claim: Refuerzos - Hielo,https://misutmeeple.com/2021/08/resena-claim-refuerzos-hielo/
160,Claim: Refuerzos - Magia,https://misutmeeple.com/2020/08/resena-claim-refuerzos-magia/
161,Claim: Refuerzos - Mapas,https://misutmeeple.com/2020/09/resena-claim-refuerzos-mapas/
162,Claim: Refuerzos - Mercenarios,https://misutmeeple.com/2020/08/resena-claim-refuerzos-mercenarios/
163,Claim: Refuerzos - Miedo,https://misutmeeple.com/2021/06/resena-claim-refuerzos-terror/
164,Clanes de Caledonia,https://misutmeeple.com/2018/04/resena-clanes-de-caledonia/
165,Clank! La Maldición de la Momia,https://misutmeeple.com/2020/06/resena-clank-la-maldicion-de-la-momia/
166,Clank! Tesoros Sumergidos,https://misutmeeple.com/2019/12/resena-clank-tesoros-sumergidos/
167,Clank! Una Aventura de Construcción de Mazos,https://misutmeeple.com/2019/03/resena-clank-una-aventura-de-construccion-de-mazos/
168,Clash of Cultures,https://misutmeeple.com/2017/06/resena-clash-of-cultures/
169,CliniC,https://misutmeeple.com/2020/03/resena-clinic/
170,CloudAge,https://misutmeeple.com/2021/02/resena-cloudage/
171,CO₂: Segunda Oportunidad,https://misutmeeple.com/2020/03/resena-co%e2%82%82-segunda-oportunidad/
172,Cóatl,https://misutmeeple.com/2021/09/resena-coatl/
173,¡Cobardes!,https://misutmeeple.com/2017/05/resena-cobardes/
174,Coconuts,https://misutmeeple.com/2015/08/resena-coconuts/
175,Código Secreto,https://misutmeeple.com/2016/02/resena-codigo-secreto/
176,Coimbra,https://misutmeeple.com/2018/11/resena-coimbra/
177,Coloma,https://misutmeeple.com/2019/11/resena-coloma/
178,Colonias Cósmicas,https://misutmeeple.com/2021/09/resena-colonias-cosmicas/
179,Colonos del Imperio,https://misutmeeple.com/2014/12/resena-imperial-settlers/
180,Coloretto,https://misutmeeple.com/2016/06/resena-coloretto/
181,Colt Express,https://misutmeeple.com/2015/02/resena-colt-express/
182,Columba,https://misutmeeple.com/2016/06/resena-columba/
183,Cónclave,https://misutmeeple.com/2021/03/resena-conclave/
184,Concordia,https://misutmeeple.com/2016/02/resena-concordia/
185,Conspiracy - Abyss Universe,https://misutmeeple.com/2020/09/resena-conspiracy-abyss-universe/
186,Constructo,https://misutmeeple.com/2014/09/resena-constructo/
187,Consumption: Food & Choices,https://misutmeeple.com/2021/10/resena-consumption-food-choices/
188,Continental Express,https://misutmeeple.com/2016/06/resena-continental-express/
189,Cooper Island,https://misutmeeple.com/2020/05/resena-cooper-island/
190,Copenhagen,https://misutmeeple.com/2019/11/resena-copenhagen/
191,Cosmic Encounter Duel,https://misutmeeple.com/2020/07/resena-cosmic-encounter-duel/
192,Cosmogenesis,https://misutmeeple.com/2018/04/resena-cosmogenesis/
193,Cottage Garden,https://misutmeeple.com/2016/11/resena-cottage-garden/
194,Coup,https://misutmeeple.com/2015/02/resena-coup/
195,Covil: Los Señores Oscuros,https://misutmeeple.com/2018/02/resena-covil-los-senores-oscuros/
196,Coyote,https://misutmeeple.com/2021/06/resena-coyote/
197,Crónicas,https://misutmeeple.com/2016/10/resena-cronicas/
198,Cry Havoc,https://misutmeeple.com/2016/11/resena-cry-havoc/
199,Cryo,https://misutmeeple.com/2021/04/resena-cryo/
200,Cryptid,https://misutmeeple.com/2019/10/resena-cryptid/
201,Crystal Palace,https://misutmeeple.com/2019/12/resena-crystal-palace/
202,CuBirds,https://misutmeeple.com/2019/02/resena-cubirds/
203,Cubitos,https://misutmeeple.com/2021/07/resena-cubitos/
204,Cubo,https://misutmeeple.com/2016/02/resena-cubo/
205,Cupcake Empire,https://misutmeeple.com/2019/01/resena-cupcake-empire/
206,Curious Cargo,https://misutmeeple.com/2021/09/resena-curious-cargo/
207,CV,https://misutmeeple.com/2015/03/resena-cv/
208,Cyclades,https://misutmeeple.com/2020/04/resena-cyclades/
209,Cyclades: Hades,https://misutmeeple.com/2020/04/resena-cyclades-hades/
210,Cyclades: Titans,https://misutmeeple.com/2020/05/resena-cyclades-titans/
211,Cytosis: Un Juego de Transporte Celular,https://misutmeeple.com/2019/03/resena-cytosis-un-juego-de-transporte-celular/
212,Dados y Colonos,https://misutmeeple.com/2019/05/resenas-dados-y-colonos/
213,Dark Matter,https://misutmeeple.com/2015/12/resena-dark-matter/
214,Decrypto,https://misutmeeple.com/2018/09/resena-decrypto/
215,Deep Sea Adventure,https://misutmeeple.com/2016/12/resena-deep-sea-adventure/
216,Deus,https://misutmeeple.com/2015/06/resena-deus/
217,Diavolo,https://misutmeeple.com/2015/01/resena-diavolo/
218,Dice Hospital,https://misutmeeple.com/2019/01/resena-dice-hospital/
219,Dice Masters,https://misutmeeple.com/2015/12/resena-dice-masters/
220,Dig Your Way Out,https://misutmeeple.com/2020/08/resena-dig-your-way-out/
221,Dinosaur Island,https://misutmeeple.com/2019/10/resena-dinosaur-island/
222,Disney Villainous,https://misutmeeple.com/2019/12/resena-disney-villainous/
223,Disney Villainous: Wicked to the Core,https://misutmeeple.com/2020/11/resena-disney-villainous-wicked-to-the-core/
224,Dive,https://misutmeeple.com/2021/04/resena-dive/
225,Dixit,https://misutmeeple.com/2015/06/resena-dixit/
226,Dixit Jinx,https://misutmeeple.com/2015/10/resena-dixit-jinx/
227,Dominant Species,https://misutmeeple.com/2015/02/resena-dominant-species/
228,Dominion - Cartas,https://misutmeeple.com/2014/08/resena-dominion-cartas/
229,Dominion: Alquimia - Cartas,https://misutmeeple.com/2013/06/resena-dominion-alquimia-cartas/
230,Dominion: Comarcas - Cartas,https://misutmeeple.com/2015/04/resena-dominion-comarcas-cartas/
231,Dominion: Cornucopia - Cartas,https://misutmeeple.com/2013/03/resena-dominion-cornucopia-cartas/
232,Dominion: Edad Oscura - Cartas,https://misutmeeple.com/2014/12/resena-dominion-edad-oscura-cartas/
233,Dominion: Intriga,https://misutmeeple.com/2013/03/resena-dominion-intriga/
234,Dominion: Intriga - Cartas,https://misutmeeple.com/2013/03/resena-dominion-intriga-cartas/
235,Dominion: Prosperidad,https://misutmeeple.com/2015/08/resena-dominion-prosperidad-cartas/
236,Dominion: Terramar - Cartas,https://misutmeeple.com/2013/04/resena-dominion-terramar-cartas/
237,Downforce,https://misutmeeple.com/2019/11/resena-downforce/
238,Draftosaurus,https://misutmeeple.com/2019/08/resena-draftosaurus/
239,Draftosaurus - Aerial Show,https://misutmeeple.com/2021/04/resena-draftosaurus-aerial-show/
240,Draftosaurus - Marina,https://misutmeeple.com/2021/04/resena-draftosaurus-marina/
241,Dragon Castle,https://misutmeeple.com/2018/01/resena-dragon-castle/
242,Dragon Keepers,https://misutmeeple.com/2020/06/resena-dragon-keepers/
243,Dragon Master,https://misutmeeple.com/2018/07/resena-dragon-master/
244,Druken Sailor,https://misutmeeple.com/2020/02/resena-drunken-sailor/
245,Dual Powers: Revolución 1917,https://misutmeeple.com/2020/03/resena-dual-powers-revolucion-1917/
246,Dungeon Fighter,https://misutmeeple.com/2016/09/resena-dungeon-fighter/
247,Dungeon Lords,https://misutmeeple.com/2017/07/resena-dungeon-lords/
