0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(6),25.0%(12),62.5%(8),52.38%(21),50.0%(8),71.43%(7),11.11%(9),100.0%(1),25.0%(4),56.52%(23),47.47%(99)
Rogue,75.0%(12),50.0%(36),27.27%(11),53.06%(49),51.85%(27),68.42%(19),36.11%(36),33.33%(3),58.33%(12),55.0%(20),51.11%(225)
Mage,37.5%(8),72.73%(11),50.0%(12),50.0%(28),40.0%(10),50.0%(10),40.0%(20),100.0%(2),41.67%(12),50.0%(20),48.87%(133)
Druid,47.62%(21),46.94%(49),50.0%(28),50.0%(90),66.67%(39),44.83%(29),53.62%(69),66.67%(3),41.67%(36),43.4%(53),49.88%(417)
Demonhunter,50.0%(8),48.15%(27),60.0%(10),33.33%(39),50.0%(12),72.73%(11),44.44%(36),40.0%(5),33.33%(6),52.63%(19),46.24%(173)
Hunter,28.57%(7),31.58%(19),50.0%(10),55.17%(29),27.27%(11),50.0%(28),65.22%(23),50.0%(4),54.55%(11),61.54%(13),49.68%(155)
Priest,88.89%(9),63.89%(36),60.0%(20),46.38%(69),55.56%(36),34.78%(23),50.0%(38),66.67%(3),41.38%(29),50.0%(32),51.53%(295)
Shaman,0.0%(1),66.67%(3),0.0%(2),33.33%(3),60.0%(5),50.0%(4),33.33%(3),-,100.0%(1),66.67%(9),51.61%(31)
Warlock,75.0%(4),41.67%(12),58.33%(12),58.33%(36),66.67%(6),45.45%(11),58.62%(29),0.0%(1),50.0%(6),33.33%(12),53.49%(129)
Warrior,43.48%(23),45.0%(20),50.0%(20),56.6%(53),47.37%(19),38.46%(13),50.0%(32),33.33%(9),66.67%(12),50.0%(50),49.8%(251)
