,Aggro Demon Hunter,Control Demon Hunter,Tempo Demon Hunter,Token Demon Hunter,Dragon Druid,Gibberling Druid,Guardian Druid,Malygos Druid,Spell Druid,Dragon Hunter,Face Hunter,Highlander Hunter,Freeze Mage,Highlander Mage,No Minion Mage,Small Spell Mage,Tortollan Mage,Libram Paladin,Murloc Paladin,Galakrond Dragon Priest,Galakrond Priest,Highlander Priest,Resurrect Priest,Face Rogue,Galakrond Rogue,Galakrond Secret Rogue,Quest Rogue,Secret Rogue,Stealth Rogue,Weapon Rogue,Spell Damage Shaman,Totem Shaman,Galakrond Warlock,Hand Warlock,Zoo Warlock,Big Warrior,Bomb Warrior,Enrage Warrior,Galakrond Warrior,Pirate Warrior
Aggro Demon Hunter,50%,34%,47.22%,56.72%,52.81%,69.83%,46.56%,55.14%,64.7%,55.43%,60.39%,60%,84.15%,46.95%,58.58%,46.7%,59.07%,53.39%,65%,45.49%,49.62%,48.16%,52.52%,55.37%,53.79%,55.03%,56.38%,43.61%,52.36%,50.13%,60.23%,67.78%,54%,47.01%,61.29%,46.59%,59.33%,38.24%,64.41%,48.65%
Control Demon Hunter,65.99%,50%,69.94%,65.15%,35.13%,73.71%,35.59%,42%,50%,52.68%,58.94%,56.33%,76.35%,59.43%,52.97%,58.33%,69.55%,34.16%,60%,48.12%,50.38%,55.17%,42.42%,58.08%,50.63%,54.5%,63.92%,55.27%,50.31%,49.52%,54.4%,67.45%,60.69%,66.41%,59.39%,33.38%,38.96%,50.79%,39.67%,52.86%
Tempo Demon Hunter,52.77%,30.05%,50%,44.18%,45.94%,60%,41.97%,47.74%,60.31%,58.59%,53.7%,57.14%,75%,39.05%,43.39%,40.56%,61.48%,46.84%,61.72%,45.76%,52.5%,48.08%,50%,50%,50%,40.29%,54.79%,45.18%,47.7%,49.51%,58.22%,65.65%,46.07%,48.57%,53.96%,47.75%,60.31%,42.1%,58.06%,63.38%
Token Demon Hunter,43.27%,34.84%,55.81%,50%,33.78%,63.15%,29.51%,35.29%,44.82%,57.14%,45.06%,52.72%,63.93%,34.72%,47.57%,39.3%,50.61%,49.63%,63.33%,34.05%,37.7%,32.54%,44.2%,50.87%,36.53%,58.49%,47.16%,36.27%,43.9%,39.13%,56.6%,61.81%,37.14%,48.07%,39.79%,30.86%,27.08%,50%,50%,46.12%
Dragon Druid,47.18%,64.86%,54.05%,66.21%,50%,52.71%,47.55%,52.07%,67.24%,49.45%,44%,55%,55.11%,51.69%,60.4%,52.39%,42.72%,36.34%,36.66%,44.89%,45.83%,44.06%,37.8%,56.32%,65.08%,61.59%,53.22%,49%,41.3%,53.45%,59.74%,49.28%,50.18%,54.03%,40.65%,54.51%,46.21%,67.04%,46.4%,68.29%
Gibberling Druid,30.16%,26.28%,40%,36.84%,47.28%,50%,47.86%,57%,58.06%,48.58%,55.27%,59.09%,64.97%,41.91%,46.72%,45.93%,45.02%,42.83%,48.71%,43.52%,45.8%,46.64%,56.66%,56.1%,45.56%,45.09%,62.9%,41.89%,61.4%,53.17%,46.96%,54.65%,44.21%,45.94%,53.92%,46.97%,45.82%,35.06%,47.25%,50.68%
Guardian Druid,53.43%,64.4%,58.02%,70.48%,52.44%,52.13%,50%,59%,61.53%,54.77%,47.32%,58.73%,55.21%,52.14%,60.09%,57.22%,48.75%,45.89%,54.39%,46.71%,47.85%,43.92%,51.07%,57.58%,66.83%,64.52%,58.54%,49.95%,50.09%,57%,58.18%,51.83%,52.68%,56.55%,47.57%,49.26%,44.57%,69.56%,40.76%,65.2%
Malygos Druid,44.85%,57.99%,52.25%,64.7%,47.92%,42.99%,40.97%,50%,50%,47%,35.94%,49.25%,66.41%,59.13%,59.42%,49.86%,69.68%,35.72%,51.18%,51.05%,58.91%,56.36%,65.18%,51.44%,61.56%,59.47%,61.81%,42.89%,43.97%,48.89%,54.97%,39.76%,62.18%,72.32%,40%,48.24%,51.41%,54.86%,48.94%,49.6%
Spell Druid,35.29%,50%,39.68%,55.17%,32.75%,41.93%,38.46%,50%,50%,50%,40.64%,54.05%,63.49%,47.33%,55.55%,41.93%,49.01%,38.34%,59.61%,40.15%,56.61%,50%,49.01%,49.33%,56.36%,59.74%,48.14%,41.93%,45.79%,47.23%,45.2%,37.5%,50.63%,39.62%,37.14%,42.68%,47.08%,43.13%,47.05%,49.68%
Dragon Hunter,44.56%,47.31%,41.4%,42.85%,50.54%,51.41%,45.22%,52.99%,50%,50%,45.31%,50.35%,85.52%,60.3%,64.49%,53.11%,73.5%,38.91%,47.74%,55.28%,59.97%,55.68%,60.6%,56.48%,60.16%,46.05%,64.55%,51.03%,42.34%,50.04%,66.34%,52.96%,51.13%,60.86%,47.29%,55.74%,57.77%,47.27%,56.64%,51.11%
