Nombre,Caracteristicas,Foto,URL,Codigo,Animal,Sexo,Medidas,Edad,Color,Raza,Nacimiento,Entrada,Descripción,Estado
Nerea,Espectacular ,https://server03.protectorabcn.es/7428-home_default/nerea.jpg,nerea,78,Perros,Hembra,Mediano,Adulto,Marrón claro,Mestizo,2010,02-2014,"Nerea fue rescatada de un síndrome de Noé hace ya 5 años y desde entonces ha estado en la Lliga. Era un ambiente muy complejo que la condicionó, pero desde que llegó al refugio ha mejorado mucho. Aún le cuesta mostrarse afectuosa con las personas, así que buscamos para ella una familia que tenga paciencia y comprensión con ella. Nerea tiene 8 años y necesita que por fin una familia se fije en ella y le dé el hogar que necesita.Debido a su pasado, Nerea necesita estar acompañada, con lo cual es preferible una familia con algún otro perro, o en la que Nerea esté con personas todo el tiempo. También es incompatible con gatos. Por otro lado es una perrita a la que le encanta pasear y tomar el sol. Esperamos que su oportunidad de ser feliz llegue pronto.Si estás interesado en conocerla puedes enviarnos un email a info@protectorabcn.es",En Adopción
Gina,Curiosa y elegante,https://server03.protectorabcn.es/7720-home_default/gina.jpg,gina,39,Perros,Hembra,Grande,Adulto,Blanco,Mestizo,2010,02.2014,"Si tuviéramos que describir a Gina con una sola palabra sería: “cautivadora”. Así es, Gina es una perra con mucho encanto, si no lo crees pregúntale a los voluntarios, resulta muy bonito ver la estima que le tienen. Gina hace que todo sea especial, desde su forma de comer o sus paseos, hasta la efusividad con la que te recibe, todo en ella está repleto de detalles que la hacen única. No ha tenido un pasado fácil, Gina sufrió malos tratos por parte del que era su propietario, y vivió en un entorno muy desequilibrado. Cuando llegó al refugio en 2014 Gina parecía una cabra desbocada, no entendía absolutamente nada, y costó muchos meses de trabajo enseñarle y reconducir sus conductas asalvajadas. Tras estos años con nosotros Gina ha dado un cambio espectacular, aquella cabra loca ya forma parte del recuerdo de voluntarios y trabajadores, ahora Gina es toda una señorita que busca una familia que le aporte estabilidad y la ayude a seguir el camino de mejora que ha tomado. Buscamos para ella un/a adoptante que preferiblemente tenga otro perro o bien una familia en la que estuviera acompañada todo el día, ya que siempre ha convivido con perros y es posible que no lleve bien quedarse sola. A Gina le quedan muchos años de vida por delante y todavía le falta descubrir lo que es un hogar, si no puedes adoptar, puedes ayudar compartiendo su caso para que por fin encuentre su lugar.Si estás interesado en conocerla envíanos un email a info@protectorabcn.es ",En Adopción
Horus,Una familia con dedicación,https://server01.protectorabcn.es/8345-home_default/base-perros.jpg,base,997,Perros,Macho,Grande,Joven,Marron oscuro,Mestizo de Pastor Alemán,03.2016,09.2017,"Horus es este cruce de pastor alemán, de 3 años de edad. A Horus le encanta jugar y dar paseos tranquilos, y es muy cariñoso con las personas que conoce. Por otro lado, es desconfiado con desconocidos y necesita de una familia que tenga paciencia para conocerlo y para ayudarlo en su adaptación. Por otro lado, Horus es muy noble y besucón con sus personas.Esperamos que llegue esa familia que le dé el apoyo que necesita para sentirse seguro y por fin le dé el hogar que tanto merece. Con Horus descubrirán un perro maravilloso que, aunque necesita paciencia para adaptarse, corresponde a sus personas con una fidelidad absoluta y devoción por ellos.Si estás interesado en conocerlo puedes enviarnos un email a info@protectorabcn.es",En Adopción
Muñeca,Preparada para volver a empezar,https://server01.protectorabcn.es/6424-home_default/muneca.jpg,muneca,1291,Perros,Hembra,Mediano,Adulto,Negro,Mestizo,02.2012,07.2018,"Muñeca es esta perrita cariñosa y buena nacida en 2012, y con mucha vida por delante, que espera que por fin alguien se fije en ella. Llegó hace unos meses a nuestro refugio procedente de otro refugio que tuvo que cerrar. Muñeca es una perrita vital y activa, pero que a la vez sabe estar tranquila. Es efusiva y disfruta mucho de los paseos, pero hay que invertir tiempo en conocerla porque, igual que las personas, tiene sus manías. Por otro lado, es una perrita que cuando la conoces, te enamora, y creará un fuerte vínculo con esas personas que decidan ser su familia para siempre.Si estás interesado en conocerla puedes enviarnos un email a info@protectorabcn.es",En Adopción
Nut,¡¡ RESERVADO !!,https://server03.protectorabcn.es/8098-home_default/nut.jpg,nut,1362,Perros,Macho,Mediano,Joven,Marron oscuro,Mestizo de Pastor Alemán,05.2018,10.2018,"Nut busca una familia dispuesta a entenderlo y ayudarlo. Este mestizo de pastor alemán, de un año de edad, es desconfiado con las personas, así que sospechamos que debió pasarlo mal antes de llegar a nuestro refugio a pesar de su corta edad.Nut, en cambio, disfruta de la compañía perruna, así que sería ideal que se lo llevase una familia con otro perro con el que jugar y del que aprender a comportarse. De todas formas, Nut necesitará de mucha paciencia y perseverancia para darle unas rutinas y estabilidad, por lo que debería adoptarlo una familia sin niños que esté dispuesta a trabajar su adaptación, que será lenta y requerirá de la ayuda de un educador o etólogo. Estamos convencidos de que se convertirá en un perro maravilloso si la familia adecuada le da la oportunidad.Si estás interesado en conocerlo puedes enviarnos un email a info@protectorabcn.es",En Adopción
Goliath,Necesita un hogar urgente,https://server03.protectorabcn.es/8344-home_default/goliath.jpg,goliath,1481,Perros,Macho,Grande,Joven,Gris,Fila Brasileiro,03.2018,02.2019,"Buscamos una acogida indefinida para nuestro Goliath. No tiene ni 2 añitos pero, debido a su tamaño, tiene una artrosis avanzada y el frío, la humedad y el gran número de escaleras, hace que el refugio no sea un buen lugar para él.Buscamos para él un hogar sin escaleras y sin niños. Puesto que de entrada es desconfiado con los desconocidos, necesitamos que la familia cree un vínculo con él antes de llevárselo, ya que una vez creadoes un perrito muyalegre, cariñoso, juguetón y extremadamente fiel.Si alguno podéis tenderle una patita a Goliath o conocéis a alguien que pueda hacerlo, por favor, contactadnos.",Urgente
Bruno,Una persona que lo entienda,https://server03.protectorabcn.es/8682-home_default/bruno.jpg,bruno,1054,Perros,Macho,Pequeño,Adulto,Beig,Mestizo de Terrier,10.2011,01.2018,Bruno es este precioso mestizo de terrier nacido en octubre de 2011. Es un perrito cariñoso pero que necesita una persona que lo sepa entender y que sepa darle su espacio cuando lo necesita. Buscamos para Bruno una sola persona que quiera darle la oportunidad de vivir el resto de su vida en un hogar. No apto con niños.Si estás interesado en conocerlo puedes enviarnos un email a info@protectorabcn.es,En Adopción
Soap,Buscando el amor,https://server03.protectorabcn.es/6761-home_default/soap.jpg,soap,1497,Perros,Macho,Grande,Adulto,Marrón,Braco,10.2011,03.2019,"Soap pasa muy desapercibido en el refugio, y ya va siendo hora de que le toque la oportunidad de ser el rey de la casa. Es un perro nacido en 2011, por lo que ya tiene unos añitos de experiencia. Es un perro alegre, juguetón y con muchas ganas de compartir aventuras. Si te animas a conocerlo te espera en el refugio.Si estás interesado en conocerlo puedes enviarnos un email a info@protectorabcn.es",En Adopción
Skaner,Movido y alegre,https://server02.protectorabcn.es/7978-home_default/skaner.jpg,skaner,1511,Perros,Macho,Grande,Adulto,Canela y blanco,Mestizo,10.2013,03.2019,Skaner llegó a la protectora procedente de otro centro donde no se adaptaba. Ha vivido mucho tiempo en la incertidumbre que supone el vivir una larga temporada en una jaula. Es un perro tranquilo aunque con energía para dar largos paseos.Las personas interesadas en adoptar que vienen a la protectora nunca preguntan por Skaner. Necesita conocer bien a su posible adoptante pero es uno de esos perros que una vez que confía crea un vínculo muy especial y fuerte.Cuando sale a pasear va saludando con una especie de abrazo y lametones a todos los voluntarios que se cruza por el camino.Sería muy triste que Skaner tuviera que vivir mucho más tiempo en el refugio ya que nadie se fija en él.Si estás dispuesto a ayudar a un perro invisible quizás Skaner pueda formar parte de tu familia y ser feliz en el calor de un hogar.Si estás interesado en conocerlo puedes enviarnos un email a info@protectorabcn.es,En Adopción
Riki,Noble y tierno,https://server01.protectorabcn.es/6930-home_default/riki.jpg,riki,1531,Perros,Macho,Mediano,Adulto,Marrón oscuro,Mestizo de Podenco,05.2015,04.2019,"Riki es un podenco medianito de unos 5 años. Fue rescatado de la calle, lleno de heridas y muy delgado, no sabemos por todo lo que ha tenido que pasar, pero ahora Riki ya no tiene de qué preocuparse.Riki es muy sociable y juguetón con otros perros pero se muestra un poco tímido con las personas, nada que no se solucione con un poquito de paciencia y cariño.Pero Riki tiene mucho miedo en la calle, seguramente debido a su pasado, por lo que necesita una familia que le aporte seguridad y le ayude a ir superando esos miedos, sería ideal un entorno alejado del centro de la ciudad para que su adaptación fuera más fácil.Si estás interesado en conocerlo puedes enviarnos un email a info@protectorabcn.es",En Adopción
