,Posicion,jugador,mp,Predicción_media,Tipo_predicción,value
1,B,Damian Lillard,537,1.252486313363551,Segura,13.340.000 $
2,B,Trey Burke,45,1.1307273208395914,Muy arriesgada,320.000 $
3,A,Zach LaVine,528,-0.18533090410554243,Segura,12.740.000 $
4,P,Jakob Poeltl,225,-0.37756797047287094,Arriesgada,3.600.000 $
5,P,Boban Marjanovic,41,-0.8111870743997255,Muy arriesgada,690.000 $
6,B,Lonnie Walker IV,348,-1.5108468661860899,Segura,1.360.000 $
7,B,Eric Gordon,338,-1.9871880274622058,Segura,1.000.000 $
8,B,R.J. Hampton,270,-2.882202177854174,Arriesgada,610.000 $
9,P,Moritz Wagner,135,-3.736608423147073,Muy arriesgada,370.000 $
10,B,Elfrid Payton,75,-4.9922129163329485,Muy arriesgada,1.040.000 $
