Teams,Wins,Lost,Tie,Played,Proba_of_winning,Proba_of_Tie
Liverpool,32,5,1,38,84.21052631578947,2.631578947368421
Manchester_City,26,10,2,38,68.42105263157895,5.263157894736842
Chelsea,20,15,3,38,52.63157894736842,7.894736842105263
Leicester_City,18,16,4,38,47.368421052631575,10.526315789473683
Manchester_United,18,13,7,38,47.368421052631575,18.421052631578945
Tottenham_Hotspur,16,19,3,38,42.10526315789473,7.894736842105263
Southampton,15,20,3,38,39.473684210526315,7.894736842105263
Wolverhampton_Wanderers,15,16,7,38,39.473684210526315,18.421052631578945
Burnley,15,19,4,38,39.473684210526315,10.526315789473683
Arsenal,14,18,6,38,36.84210526315789,15.789473684210526
Sheffield_United,14,21,3,38,36.84210526315789,7.894736842105263
Everton,13,18,7,38,34.21052631578947,18.421052631578945
Newcastle_United,11,19,8,38,28.947368421052634,21.052631578947366
Crystal_Palace,11,22,5,38,28.947368421052634,13.157894736842104
West_Ham_United,10,24,4,38,26.31578947368421,10.526315789473683
Aston_Villa,9,26,3,38,23.684210526315788,7.894736842105263
Brighton_Hove_Albion,9,22,7,38,23.684210526315788,18.421052631578945
AFC_Bournemouth,9,23,6,38,23.684210526315788,15.789473684210526
Watford,8,24,6,38,21.052631578947366,15.789473684210526
Norwich_City,5,30,3,38,13.157894736842104,7.894736842105263
