provincia,altitud,distancia,desnivel,pendiente,coeficiente
A CORUÑA,505,6,436,7,117
ALBACETE,1402,12,782,6,174
ALICANTE,810,7,577,7,171
ALMERÍA,1670,18,1001,4,216
ASTURIAS,1163,11,818,7,226
BADAJOZ,860,5,260,4,48
BARCELONA,1116,13,802,5,163
BIZKAIA,381,4,294,6,80
BURGOS,880,7,347,4,65
CANTABRIA,735,10,552,5,119
CASTELLÓN,1064,9,543,6,123
CEUTA,227,2,218,8,55
CIUDAD REAL,922,6,436,6,105
CUENCA,1242,6,292,4,57
CÁCERES,1193,12,664,4,114
CÁDIZ,808,9,511,5,108
CÓRDOBA,1059,7,500,6,109
GERONA,1284,13,807,6,191
GIPUZKOA,491,5,349,5,81
GRANADA,1374,14,853,5,204
GUADALAJARA,1358,11,406,3,77
HUELVA,464,5,266,5,52
HUESCA,1359,9,489,5,93
JAÉN,1464,12,838,6,210
LA RIOJA,1374,11,591,4,119
LEÓN,1394,12,655,5,149
LLEIDA,1687,13,699,4,143
LUGO,1210,19,780,3,177
MADRID,1626,10,590,4,119
MURCIA,823,10,712,6,181
MÁLAGA,879,11,679,5,155
NAVARRA,903,8,460,4,95
OURENSE,1386,22,1067,3,212
PALENCIA,1484,9,454,4,87
PONTEVEDRA,699,8,624,6,154
SALAMANCA,1395,14,790,5,154
SEGOVIA,1784,9,595,6,148
SEVILLA,811,9,505,4,123
SORIA,1385,6,279,4,50
TARRAGONA,872,14,659,4,120
TERUEL,1814,14,733,5,172
TOLEDO,1215,14,617,4,117
VALENCIA,917,10,604,5,141
ZAMORA,1770,15,751,4,143
ZARAGOZA,1331,13,608,4,91
ÁLAVA,631,3,281,7,82
ÁVILA,1437,10,575,5,103
