;store;tags
0;89037;Groceries, Pickers, Preparation, Silver, Qcommerce, Convenience
1;73384;Groceries, Pickers, Supermarket, Preparation, Gold, Qcommerce
2;104596;Groceries, Block B, Qcommerce, Eco
3;93150;Groceries, Chain, Pickers, Supermarket, Preparation, Silver, Qcommerce, Convenience
4;118511;Groceries, Pickers, Supermarket, Preparation, Silver, Qcommerce, Health, Beauty and Personal Care
5;96171;Pickers, Preparation, Block B, Qcommerce, Shops, Other
6;166981;Groceries, Sweets, Virtual Brand, Qcommerce
7;108852;Groceries, Chain, Pickers, Preparation, Qcommerce
8;171583;Groceries, Qcommerce, Convenience
9;113658;Pharmacy, Pickers, Preparation, Diamond, Qcommerce, Health, Beauty and Personal Care
10;172423;Pickers, Preparation, Qcommerce, Shops, Other, Home and decoration, Services
11;124972;Groceries, Pickers, Supermarket, Preparation, Diamond, Qcommerce
12;189782;Groceries, Supermarket, Qcommerce
13;156864;Groceries, Virtual Brand, Qcommerce, International
14;196508;Groceries, Qcommerce, Eco
15;173530;Flowers, Qcommerce, Shops
16;209457;Sex shop, Qcommerce, Shops
17;175138;Electronics, Pickers, Preparation, Diamond, Qcommerce, Shops
18;221966;Groceries, Supermarket, Qcommerce
